regularization,linear_regularization,rank,adagrad_momentum_weighting,FM(cs)
3e-08,3e-06,40,0.99,0.018330773169482846
3e-08,3e-08,40,0.9,0.019789578914002875
3e-09,1e-09,40,0.9,0.016590715139102236
1e-10,1e-08,40,0.99,0.01874454441274718
3e-10,3e-09,40,0.9,0.01881696047594665
3e-09,1e-06,40,0.99,0.018311510984322044
1e-06,3e-09,40,0.9,0.023638236656669837
1e-08,1e-10,40,0.99,0.02149245361226928
3e-07,3e-08,40,0.99,0.02065832784726794
1e-07,1e-06,40,0.95,0.018214224758003557
1e-08,1e-09,40,0.9,0.01635286372613562
3e-08,1e-06,40,0.99,0.016770901909150756
1e-09,1e-07,40,0.99,0.017227098724794575
3e-07,3e-10,40,0.9,0.020839733742959547
3e-07,3e-07,40,0.9,0.018891205227610758
1e-10,3e-07,40,0.9,0.017615146416989733
1e-10,3e-07,40,0.99,0.01724197205764026
3e-10,1e-08,40,0.95,0.020594811401263013
3e-07,3e-09,40,0.99,0.02034415916904396
3e-08,1e-09,40,0.95,0.018484383000512035
3e-10,3e-08,40,0.99,0.019331065759637188
1e-08,1e-06,40,0.9,0.018053665910808765
1e-09,1e-09,40,0.9,0.018627386438446344
1e-07,3e-09,40,0.95,0.018135225416331405
3e-06,3e-07,40,0.99,0.02024772633067564
1e-07,3e-07,40,0.99,0.021210957501280082
3e-09,3e-09,40,0.95,0.01689732523833906
1e-07,3e-10,40,0.95,0.020503498890595665
1e-10,3e-06,40,0.95,0.01675432180040475
3e-10,1e-09,40,0.9,0.02006814912344866
1e-06,1e-09,40,0.95,0.020902152975885692
3e-09,3e-10,40,0.9,0.01536488430497647
3e-10,1e-07,40,0.95,0.02131116962914198
3e-10,3e-07,40,0.9,0.02125569941238144
3e-10,1e-10,40,0.95,0.019471752858849632
3e-10,1e-07,40,0.99,0.01961865749884183
1e-06,3e-08,40,0.95,0.0214720942140297
3e-07,1e-06,40,0.99,0.021913539609392144
1e-07,3e-08,40,0.9,0.019418355155682344
3e-10,3e-10,40,0.9,0.01768524614146734
1e-07,1e-08,40,0.9,0.020462902006680807
3e-08,3e-10,40,0.9,0.020912881281544875
1e-06,1e-10,40,0.99,0.022426060029746668
1e-06,1e-07,40,0.95,0.022117011679223662
1e-07,1e-09,40,0.99,0.01778838417087265
1e-10,1e-07,40,0.99,0.018182893228976177
1e-08,3e-08,40,0.99,0.01799124667788262
3e-08,3e-07,40,0.95,0.017909565259795673
3e-08,1e-10,40,0.9,0.01751017969911979
1e-09,3e-07,40,0.99,0.01698424889669129
1e-09,3e-07,40,0.95,0.017343525223709556
3e-07,1e-09,40,0.9,0.018240070221637043
1e-09,1e-10,40,0.95,0.0196525491917197
3e-07,1e-09,40,0.95,0.018566430156291905
3e-07,1e-09,40,0.99,0.01739180259917587
3e-06,3e-09,40,0.99,0.022955038646282885
3e-06,3e-07,40,0.95,0.0265119596225587
3e-06,1e-10,40,0.99,0.022055689659376296
1e-09,1e-10,40,0.9,0.01873747348401726
1e-10,1e-07,40,0.9,0.016949138078170334
