rank,FM(cs)
1,0.027888962036427475
5,0.024262672811059906
10,0.026317021432228804
15,0.02825201765293931
20,0.017138468290542025
30,0.0014391778216663008
50,0.02574305707946261
60,0.021027235266866603
75,0.00681198644332285
100,0.028158388803550094
125,0.026087581986199496
150,0.01938312242459708
200,0.028937897739741057
250,0.027011313485967862
300,0.027006071245702583
350,0.026244605369029332
400,0.02842793748323702
500,0.015495574573915587
750,0.02497415453636652
1000,0.023343573988735277
1250,0.02669885158364421
1500,0.027634408602150537
1750,0.02539012020578841
2000,0.025952015214688026
