type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM,0.008379888268156424,0.008379888268156424,0.019971732317335462,12,1420,,1420
1,3,FM,0.019553072625698324,0.013268156424581005,0.06397099489952682,28,4268,,1404
1,10,FM,0.05307262569832402,0.01892956903431764,0.16462852577889756,76,14244,,1356
1,20,FM,0.08729050279329609,0.021236552096906752,0.2598783260615744,125,28515,,1307
1,30,FM,0.10963687150837989,0.02212221301295052,0.3303017267867019,157,42803,,1275
2,1,FM,0.014664804469273743,0.014664804469273741,0.018558348184108647,21,1411,,1411
2,3,FM,0.03282122905027933,0.022695530726256984,0.06280341670251337,47,4249,,1385
2,10,FM,0.06005586592178771,0.027231034406313737,0.16155595157623057,86,14234,,1346
2,20,FM,0.08310055865921788,0.02883473876026348,0.25428624101272046,119,28521,,1313
2,30,FM,0.1005586592178771,0.029554874149160852,0.3247710932219013,144,42816,,1288
3,1,FM,0.019553072625698324,0.019553072625698324,0.021815276838935662,28,1404,,1404
3,3,FM,0.037011173184357544,0.02676908752327747,0.06661340871382043,53,4243,,1379
3,10,FM,0.07751396648044692,0.0332072470515208,0.16641061881644442,111,14209,,1321
3,20,FM,0.11312849162011174,0.03573641538889109,0.2589565538007743,162,28478,,1270
3,30,FM,0.13337988826815642,0.03655005679610791,0.3292570515577951,191,42769,,1241
4,1,FM,0.0111731843575419,0.0111731843575419,0.023413015424322496,16,1416,,1416
4,3,FM,0.027932960893854747,0.018272811918063316,0.06821114729920727,40,4256,,1392
4,10,FM,0.05935754189944134,0.023838620643788243,0.16573465249185768,85,14235,,1347
4,20,FM,0.08659217877094973,0.0256926455456678,0.2568057518589074,124,28516,,1308
4,30,FM,0.10125698324022346,0.026288836891651846,0.32784366742456833,145,42815,,1287
5,1,FM,0.008379888268156424,0.008379888268156424,0.020033183801388802,12,1420,,1420
5,3,FM,0.02164804469273743,0.014082867783985103,0.06612179684139372,31,4265,,1401
5,10,FM,0.055167597765363126,0.019367961337235083,0.16751674552940454,79,14241,,1353
5,20,FM,0.07960893854748603,0.021052134916109827,0.2659005714988017,114,28526,,1318
5,30,FM,0.10824022346368715,0.022188018026606193,0.33515639402691577,155,42805,,1277
