regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
1e-09,3e-10,40,0.99,0.006946107120688126
3e-09,1e-09,40,0.95,0.010730635364015252
3e-07,1e-08,40,0.99,0.013146503946084952
1e-08,3e-07,40,0.9,0.009185454908220272
1e-10,1e-08,40,0.9,0.005957646093819278
1e-06,1e-08,40,0.99,0.00975658419792498
3e-08,3e-06,40,0.9,0.009701715881883479
3e-08,3e-08,40,0.95,0.01002843176376696
3e-09,1e-09,40,0.99,0.010533885341846235
3e-07,3e-08,40,0.99,0.010073046909639088
3e-08,1e-08,40,0.95,0.008192837190742219
3e-09,1e-06,40,0.9,0.007786035736454732
3e-09,1e-06,40,0.95,0.008317260796311076
3e-06,3e-08,40,0.99,0.012493626407732553
1e-09,1e-07,40,0.99,0.005762835860601224
1e-08,3e-06,40,0.9,0.009875465549348232
3e-07,3e-10,40,0.9,0.011712999911323933
3e-07,3e-10,40,0.99,0.011116376252549437
3e-07,3e-07,40,0.9,0.007872494901126187
1e-10,3e-10,40,0.99,0.006793972244391239
1e-06,3e-06,40,0.9,0.007920989624900239
1e-10,1e-10,40,0.9,0.008338044249357099
1e-08,1e-08,40,0.99,0.007712600869025451
3e-07,3e-09,40,0.99,0.007732552983949633
1e-10,3e-09,40,0.95,0.008578300966569124
3e-06,1e-09,40,0.9,0.007439644852354351
3e-07,3e-07,40,0.99,0.010427196949543319
1e-08,1e-08,40,0.9,0.009013645029706481
3e-10,3e-08,40,0.95,0.008986487984393013
1e-08,1e-06,40,0.9,0.0071411944666134606
1e-09,1e-09,40,0.99,0.01212811474682983
1e-07,3e-09,40,0.9,0.006614403210073601
1e-07,3e-09,40,0.99,0.008469672785315244
1e-07,3e-07,40,0.9,0.011060953711093377
3e-10,1e-09,40,0.99,0.009055489048505807
1e-06,1e-09,40,0.9,0.00883989536224173
3e-09,3e-10,40,0.99,0.008523986875942184
1e-08,3e-10,40,0.9,0.008907787975525406
3e-08,1e-07,40,0.95,0.01215444045402146
3e-10,1e-10,40,0.99,0.007416644497650084
1e-09,1e-06,40,0.9,0.008559180189766782
1e-06,3e-08,40,0.99,0.013289216990334309
1e-10,1e-06,40,0.95,0.006591125742662056
3e-07,1e-06,40,0.9,0.007581526558481866
1e-10,1e-06,40,0.99,0.007816795246962844
3e-10,3e-10,40,0.95,0.009031103130265141
1e-07,1e-08,40,0.95,0.008731544293695132
1e-09,3e-06,40,0.95,0.009412410215482841
1e-07,1e-08,40,0.9,0.008888667198723065
1e-09,3e-06,40,0.9,0.005044282610623393
1e-07,1e-07,40,0.9,0.007446295557329077
1e-06,3e-07,40,0.9,0.006155504566817417
1e-06,3e-07,40,0.99,0.008517613283674737
1e-09,3e-07,40,0.9,0.009483905293961158
1e-09,3e-07,40,0.99,0.009254178859625787
3e-07,1e-09,40,0.9,0.007998581182938724
3e-06,3e-09,40,0.95,0.009283829919304779
1e-10,1e-09,40,0.99,0.007080783896426355
3e-10,1e-06,40,0.9,0.007917110046998315
1e-09,3e-09,40,0.9,0.00913973131151902
