rank,FM
1,0.01902351024208566
5,0.020036634299902458
10,0.0166605701871065
15,0.01921665779906003
20,0.005237153054890485
30,0.007393367030238539
50,0.022554480358251305
60,0.0076685399485678825
75,0.007679624456859094
100,0.022012725015518313
125,0.022725736011350535
150,0.00741276491974816
200,0.016049536667553425
250,0.01109143610889421
300,0.017724405870355592
350,0.010914083976234813
400,0.009632714817770685
500,0.007387547663385653
750,0.011205883657000976
1000,0.008009388578522656
1250,0.021287521060565754
1500,0.01834209009488339
1750,0.020772645650438945
2000,0.01986676421033963
