type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD(cs),0.020583717357910907,0.020583717357910907,0.061452513966480445,67,3188,,3188
1,3,HybridSVD(cs),0.04362519201228879,0.03020993343573989,0.10837988826815642,142,9623,,3113
1,10,HybridSVD(cs),0.09831029185867896,0.03896642527978933,0.21312849162011174,320,32230,,2935
1,20,HybridSVD(cs),0.14408602150537633,0.042160137637160366,0.32430167597765364,469,64631,,2786
1,30,HybridSVD(cs),0.17480798771121353,0.04338685412316425,0.4129888268156425,569,97081,,2686
2,1,HybridSVD(cs),0.016902274124154886,0.016902274124154883,0.06075418994413408,55,3199,,3199
2,3,HybridSVD(cs),0.04179471419791026,0.027453390698627327,0.11340782122905028,136,9626,,3118
2,10,HybridSVD(cs),0.10141364474492932,0.03684415273997327,0.2127094972067039,330,32210,,2924
2,20,HybridSVD(cs),0.14474492931776275,0.03983017015650345,0.3261173184357542,471,64609,,2783
2,30,HybridSVD(cs),0.18285187461585742,0.041347847650085125,0.41256983240223466,595,97025,,2659
3,1,HybridSVD(cs),0.017511520737327188,0.017511520737327188,0.06312849162011173,57,3198,,3198
3,3,HybridSVD(cs),0.04423963133640553,0.028315412186379927,0.11131284916201117,144,9621,,3111
3,10,HybridSVD(cs),0.09953917050691244,0.037303415990051936,0.2164804469273743,324,32226,,2931
3,20,HybridSVD(cs),0.14285714285714285,0.04025932258205303,0.3244413407821229,465,64635,,2790
3,30,HybridSVD(cs),0.17542242703533026,0.041571371317424666,0.4103351955307263,571,97079,,2684
4,1,HybridSVD(cs),0.016287645974185617,0.016287645974185614,0.06396648044692738,53,3201,,3201
4,3,HybridSVD(cs),0.03995082974800246,0.026326572423683664,0.11075418994413408,130,9632,,3124
4,10,HybridSVD(cs),0.09557467732022126,0.035549897074174885,0.21201117318435755,311,32229,,2943
4,20,HybridSVD(cs),0.1450522433927474,0.03900699161949425,0.3256983240223464,472,64608,,2782
4,30,HybridSVD(cs),0.17701290719114934,0.04028970007660644,0.41522346368715085,576,97044,,2678
5,1,HybridSVD(cs),0.016589861751152075,0.016589861751152075,0.06047486033519553,54,3201,,3201
5,3,HybridSVD(cs),0.03686635944700461,0.025294418842805942,0.1100558659217877,120,9645,,3135
5,10,HybridSVD(cs),0.09001536098310292,0.03407687806305318,0.21410614525139665,293,32257,,2962
5,20,HybridSVD(cs),0.13548387096774195,0.03720079137700516,0.3255586592178771,441,64659,,2814
5,30,HybridSVD(cs),0.16866359447004609,0.03852727981145575,0.41243016759776535,549,97101,,2706
