features_weight,rank,HybridSVD(cs)
0.1,2000,0.025678077682685978
0.1,1750,0.027484821885743548
0.1,1500,0.028072196620583717
0.1,1250,0.028981664350327944
0.1,1000,0.029559407992587716
0.1,750,0.030840099480652475
0.1,500,0.030360251627532732
0.1,400,0.030605661619486503
0.1,350,0.030677590032428738
0.1,300,0.03151537317435935
0.1,250,0.029121741886718844
0.1,200,0.02684856021261551
0.1,150,0.026703971911345183
0.1,125,0.027735596030526905
0.1,100,0.02421634603662253
0.1,75,0.02458842318289323
0.1,60,0.022400824128934727
0.1,50,0.021342988808426597
0.1,30,0.0187997708043791
0.1,20,0.01815107404969156
0.1,15,0.01647855557993807
0.1,10,0.014480530563479872
0.1,5,0.01307073366981201
0.1,1,0.006940116548411479
0.3,2000,0.02853875600419379
0.3,1750,0.030247726330675642
0.3,1500,0.030283568624582445
0.3,1250,0.03090898007948699
0.3,1000,0.030359398239582572
0.3,750,0.030864969643771487
0.3,500,0.03282983444273767
0.3,400,0.03304927705849365
0.3,350,0.03259088581669227
0.3,300,0.03170823885109599
0.3,250,0.032784970619072
0.3,200,0.03206288250067052
0.3,150,0.02937861165971765
0.3,125,0.030314412503352595
0.3,100,0.026842464584400066
0.3,75,0.0256949016165606
0.3,60,0.025852778387340597
0.3,50,0.02416124155755492
0.3,30,0.021712383878282497
0.3,20,0.017950649793967766
0.3,15,0.016089044936971202
0.3,10,0.013535952015214688
0.3,5,0.013342598688220807
0.3,1,0.006921829663765147
0.5,2000,0.02967412771560237
0.5,1750,0.03076561090385975
0.5,1500,0.03149489186355545
0.5,1250,0.0323153634213542
0.5,1000,0.03291346646185356
0.5,750,0.034178796966815396
0.5,500,0.03559810304049935
0.5,400,0.03586972423377953
0.5,350,0.03366274108209592
0.5,300,0.03486882208080365
0.5,250,0.03472167361568283
0.5,200,0.03390059249506254
0.5,150,0.030961524394704117
0.5,125,0.031010411332991976
0.5,100,0.029328749420915318
0.5,75,0.026601687269890033
0.5,60,0.026398824762880062
0.5,50,0.024712895911052593
0.5,30,0.021198522419720575
0.5,20,0.01791761148904006
0.5,15,0.01590373783922171
0.5,10,0.013457318411235462
0.5,5,0.013548265184209886
0.5,1,0.006921829663765147
0.7,2000,0.032161144027503474
0.7,1750,0.03269219515763294
0.7,1500,0.033185331480262356
0.7,1250,0.03453917050691244
0.7,1000,0.036006144393241166
0.7,750,0.03661302513837076
0.7,500,0.03732682320239924
0.7,400,0.037121888181796014
0.7,350,0.036342988808426596
0.7,300,0.03557445200302343
0.7,250,0.036674225245653815
0.7,200,0.035432911515860824
0.7,150,0.0323524248409041
0.7,125,0.031641430765854725
0.7,100,0.030397922609904177
0.7,75,0.0269692536512813
0.7,60,0.02635591154024334
0.7,50,0.02427644893082681
0.7,30,0.021299466022968328
0.7,20,0.01778984712164436
0.7,15,0.015523858288835249
0.7,10,0.013503157535415599
0.7,5,0.013324677541267402
0.7,1,0.007075439494794333
0.9,2000,0.03527747299636701
0.9,1750,0.03474166727622949
0.9,1500,0.036278009411649964
0.9,1250,0.03780764635603345
0.9,1000,0.037417038499987815
0.9,750,0.03896642527978933
0.9,500,0.03879708872796431
0.9,400,0.03806024918928144
0.9,350,0.03778045985419257
0.9,300,0.03657108721624851
0.9,250,0.0378700655889596
0.9,200,0.03578743325287104
0.9,150,0.03235205910321118
0.9,125,0.03179589398483408
0.9,100,0.030788042815692584
0.9,75,0.026602296832711578
0.9,60,0.02650013410382074
0.9,50,0.02438726745178358
0.9,30,0.021006510130934096
0.9,20,0.0178000877770463
0.9,15,0.015301124033842928
0.9,10,0.013564601467827274
0.9,5,0.013337234535391217
0.9,1,0.007075439494794333
