type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD,0.02164804469273743,0.021648044692737428,0.05831745836661956,31,1401,,1401
1,3,HybridSVD,0.03282122905027933,0.02653631284916201,0.12499231856449333,47,4249,,1385
1,10,HybridSVD,0.06284916201117319,0.031466147911678635,0.25705155779512073,90,14230,,1342
1,20,HybridSVD,0.08170391061452514,0.032699888889785464,0.3799545259018005,117,28523,,1315
1,30,HybridSVD,0.0935754189944134,0.0331634366295816,0.4688748233269833,134,42826,,1298
2,1,HybridSVD,0.013268156424581005,0.013268156424581005,0.057580040557979474,19,1413,,1413
2,3,HybridSVD,0.023743016759776536,0.017690875232774676,0.12419344927179991,34,4262,,1398
2,10,HybridSVD,0.05097765363128492,0.022323368360379535,0.2537946291402937,73,14247,,1359
2,20,HybridSVD,0.07053072625698324,0.023611589586346148,0.3715971240705463,101,28539,,1331
2,30,HybridSVD,0.08798882681564246,0.02430809445518524,0.4616235482086892,126,42834,,1306
3,1,HybridSVD,0.018854748603351956,0.018854748603351956,0.05837890985067289,27,1405,,1405
3,3,HybridSVD,0.03770949720670391,0.027351024208566107,0.12683586308609354,54,4242,,1378
3,10,HybridSVD,0.06494413407821228,0.03170806730513435,0.25668284889080073,93,14227,,1339
3,20,HybridSVD,0.08449720670391062,0.033073356827345704,0.3803846862901739,121,28519,,1311
3,30,HybridSVD,0.1026536312849162,0.03380565370353816,0.47041111042831685,147,42813,,1285
4,1,HybridSVD,0.02094972067039106,0.02094972067039106,0.05739568610581946,30,1402,,1402
4,3,HybridSVD,0.0356145251396648,0.027001862197392923,0.12572973637313342,51,4245,,1381
4,10,HybridSVD,0.06424581005586592,0.03158308947415092,0.25950961715725435,92,14228,,1340
4,20,HybridSVD,0.08798882681564246,0.03329015844879475,0.37841823880046704,126,28514,,1306
4,30,HybridSVD,0.10195530726256984,0.033844979119304786,0.46936643519941007,146,42814,,1286
5,1,HybridSVD,0.013966480446927373,0.013966480446927373,0.057457137589872795,20,1412,,1412
5,3,HybridSVD,0.03212290502793296,0.021531657355679704,0.12499231856449333,46,4250,,1386
5,10,HybridSVD,0.05726256983240224,0.02568225148532411,0.25938671418914766,82,14238,,1350
5,20,HybridSVD,0.07611731843575419,0.02692918384483474,0.3786640447366804,109,28531,,1323
5,30,HybridSVD,0.09567039106145252,0.027713614135124874,0.47010385300805013,137,42823,,1295
