features_weight,rank,HybridSVD
0.1,2000,0.02494540879666578
0.1,1750,0.025339463066418374
0.1,1500,0.028683936330584376
0.1,1250,0.03085927108273477
0.1,1000,0.02529845038574089
0.1,750,0.022754001507493127
0.1,500,0.024385086902545004
0.1,400,0.02248270816706571
0.1,350,0.02286373813957613
0.1,300,0.02304386139930833
0.1,250,0.02280111066773078
0.1,200,0.02240289970736898
0.1,150,0.02211885918240667
0.1,125,0.019698833909727764
0.1,100,0.01897446129289705
0.1,75,0.017814744612928972
0.1,60,0.015664072891726524
0.1,50,0.014151314622683337
0.1,30,0.013867274097721025
0.1,20,0.013502870887647424
0.1,15,0.011266294227188084
0.1,10,0.010707357896603707
0.1,5,0.008384599184180191
0.1,1,0.005838764742396028
0.3,2000,0.027684945020838875
0.3,1750,0.028480535603440632
0.3,1500,0.03036989004167775
0.3,1250,0.031466147911678635
0.3,1000,0.02614502970648222
0.3,750,0.024687139753480535
0.3,500,0.023077392036889244
0.3,400,0.021206327037332627
0.3,350,0.022750953267713044
0.3,300,0.022731001152788866
0.3,250,0.022145739115012858
0.3,200,0.021424137625254944
0.3,150,0.018789072891726523
0.3,125,0.018013988649463512
0.3,100,0.017197614613815734
0.3,75,0.016221069433359936
0.3,60,0.014317582247051522
0.3,50,0.014391571339895362
0.3,30,0.01222621264520706
0.3,20,0.011237474505630932
0.3,15,0.0107539128314268
0.3,10,0.009215937306021105
0.3,5,0.007748071295557329
0.3,1,0.0058872594661700806
0.5,2000,0.02821866409506074
0.5,1750,0.028103385208832137
0.5,1500,0.028760696550501022
0.5,1250,0.02875764831072094
0.5,1000,0.027585184446217964
0.5,750,0.025869302562738318
0.5,500,0.021814035204398334
0.5,400,0.02254672120244746
0.5,350,0.022638722621264522
0.5,300,0.023913995300168484
0.5,250,0.02143771614791168
0.5,200,0.019145994058703555
0.5,150,0.019073113416688835
0.5,125,0.018114857674913543
0.5,100,0.017326194909993792
0.5,75,0.014177363217167688
0.5,60,0.014466391770861047
0.5,50,0.01435111288463244
0.5,30,0.01238194998669859
0.5,20,0.010784672341934913
0.5,15,0.010059468386982354
0.5,10,0.00921981688392303
0.5,5,0.007398077946262304
0.5,1,0.0058872594661700806
0.7,2000,0.02577009621353197
0.7,1750,0.025475802518400283
0.7,1500,0.02536107785758624
0.7,1250,0.02498115633590494
0.7,1000,0.026956138600691675
0.7,750,0.024566041500399045
0.7,500,0.02213797995920901
0.7,400,0.021888024297242174
0.7,350,0.02339828855191984
0.7,300,0.023598918151990778
0.7,250,0.019107198279684313
0.7,200,0.01972820785669948
0.7,150,0.0191326926487541
0.7,125,0.017162421299991133
0.7,100,0.015846413053116966
0.7,75,0.014273798439301233
0.7,60,0.014197592444799149
0.7,50,0.013328844107475393
0.7,30,0.012897933847654518
0.7,20,0.010812937838077503
0.7,15,0.010069167331737164
0.7,10,0.00952907466524785
0.7,5,0.0071758335550235
0.7,1,0.0058872594661700806
0.9,2000,0.02362746076084065
0.9,1750,0.02261821628092578
0.9,1500,0.020806730513434422
0.9,1250,0.022693868050013305
0.9,1000,0.023265551565132568
0.9,750,0.022672253258845438
0.9,500,0.022194233838786912
0.9,400,0.021776624988915496
0.9,350,0.023757703733262393
0.9,300,0.02281136383790015
0.9,250,0.02041267624368183
0.9,200,0.019081981023321808
0.9,150,0.018306896781058794
0.9,125,0.016173406047707724
0.9,100,0.01646243460140108
0.9,75,0.014843819278176821
0.9,60,0.014446162543229581
0.9,50,0.013337988826815642
0.9,30,0.012762148621087169
0.9,20,0.010406413496497294
0.9,15,0.010015961691939346
0.9,10,0.009528243327126009
0.9,5,0.007047807484259999
0.9,1,0.0058872594661700806
