alpha,beta,LCE
0.3,0.1,11.273643617518246
0.1,0.0,21.17097751237452
0.3,0.05,11.104870449751616
0.5,0.3,12.251889890059829
0.3,0.3,15.837988985702395
0.9,0.0,10.438678511418402
0.5,0.1,18.903274565003812
0.7,0.1,10.168772741220891
0.7,0.05,9.995047190226614
0.9,0.05,20.82975913770497
0.5,0.05,11.101323772221804
0.7,0.0,10.132494984194636
0.3,0.0,21.53868519887328
0.9,0.3,11.930661273188889
0.9,0.1,10.094243719242513
0.1,0.1,20.455459410324693
0.7,0.3,9.820350230671465
0.1,0.3,11.198636094108224
0.5,0.0,21.885902768932283
0.1,0.05,11.367872613482177
