type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE(cs),0.011059907834101382,0.011059907834101382,0.010195530726256983,36,3219,,3219
1,3,LCE(cs),0.02273425499231951,0.01597542242703533,0.013966480446927373,74,9691,,3181
1,10,LCE(cs),0.05192012288786482,0.020696364567332308,0.02723463687150838,169,32381,,3086
1,20,LCE(cs),0.07772657450076804,0.022414161891091883,0.04357541899441341,253,64847,,3002
1,30,LCE(cs),0.09585253456221199,0.02313131360491116,0.054748603351955305,312,97338,,2943
2,1,LCE(cs),0.013521819299323909,0.013521819299323907,0.01047486033519553,44,3210,,3210
2,3,LCE(cs),0.02366318377381684,0.017875435361606226,0.015502793296089385,77,9685,,3177
2,10,LCE(cs),0.059618930547019056,0.023426844616150085,0.0276536312849162,194,32346,,3060
2,20,LCE(cs),0.08481868469575907,0.02510591319028565,0.04329608938547486,276,64804,,2978
2,30,LCE(cs),0.10694529809465274,0.025983184674189128,0.05391061452513966,348,97272,,2906
3,1,LCE(cs),0.007373271889400922,0.007373271889400922,0.010754189944134079,24,3231,,3231
3,3,LCE(cs),0.01966205837173579,0.01259600614439324,0.01452513966480447,64,9701,,3191
3,10,LCE(cs),0.04915514592933948,0.01731658254699729,0.02863128491620112,160,32390,,3095
3,20,LCE(cs),0.07680491551459294,0.019200232101103824,0.044972067039106146,250,64850,,3005
3,30,LCE(cs),0.09953917050691244,0.020113123614692686,0.05768156424581006,324,97326,,2931
4,1,LCE(cs),0.009526736324523662,0.009526736324523662,0.01047486033519553,31,3223,,3223
4,3,LCE(cs),0.018131530424093423,0.012958410161852079,0.014245810055865922,59,9703,,3195
4,10,LCE(cs),0.046097111247695145,0.01756909688685964,0.026815642458100558,150,32390,,3104
4,20,LCE(cs),0.07406269207129687,0.019465744888147132,0.040921787709497205,241,64839,,3013
4,30,LCE(cs),0.09434542102028273,0.020293260702375183,0.05335195530726257,307,97313,,2947
5,1,LCE(cs),0.00706605222734255,0.00706605222734255,0.010335195530726256,23,3232,,3232
5,3,LCE(cs),0.019969278033794162,0.01259600614439324,0.015223463687150838,65,9700,,3190
5,10,LCE(cs),0.047926267281105994,0.017084461024553188,0.02835195530726257,156,32394,,3099
5,20,LCE(cs),0.07188940092165899,0.01872788126098109,0.04231843575418994,234,64866,,3021
5,30,LCE(cs),0.09431643625192013,0.01962563727102197,0.055167597765363126,307,97343,,2948
