alpha,beta,LCE(cs)
0.1,0.0,0.01957647575159096
0.7,0.3,0.006499768366127813
0.5,0.3,0.008455611635335137
0.7,0.1,0.0060084607319630355
0.1,0.05,0.01845000365737693
0.3,0.0,0.017265623095116183
0.5,0.1,0.011195108867919929
0.1,0.1,0.019530027064589277
0.3,0.1,0.015516543534976716
0.7,0.0,0.007985394874795796
0.5,0.05,0.011853924365445103
0.9,0.3,0.007048740643210689
0.9,0.1,0.007983566186331163
0.9,0.05,0.007295125935678931
0.3,0.3,0.01640991880623217
0.9,0.0,0.0063705410479604025
0.3,0.05,0.016895008899617196
0.1,0.3,0.0193861702387048
0.7,0.05,0.006419549898812571
0.5,0.0,0.008880598834515887
