rank,LCE(cs)
"('15',)",0.011354082851778705
"('250',)",0.008949967083607636
"('150',)",0.005588350035354643
"('1',)",0.006680808524126496
"('1500',)",0.00828261770658084
"('1250',)",0.009331675322458733
"('125',)",0.01745056445517275
"('1000',)",0.007641235705751834
"('200',)",0.003844025065223222
"('30',)",0.017450198717479822
"('100',)",0.019291078438543878
"('400',)",0.00912235144954039
"('2000',)",0.010457537853851218
"('75',)",0.020696364567332308
"('300',)",0.00637627093848292
"('50',)",0.01913515226879282
"('750',)",0.009315582863969961
"('500',)",0.008475605295881794
