type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE,0.015363128491620111,0.015363128491620111,0.012105942358507957,22,1410,,1410
1,3,LCE,0.023743016759776536,0.0186219739292365,0.0209549560621889,34,4262,,1398
1,10,LCE,0.0446927374301676,0.021951483107209364,0.04492103484299146,64,14256,,1368
1,20,LCE,0.05726256983240224,0.022820009815562592,0.07263565415104775,82,28558,,1350
1,30,LCE,0.07053072625698324,0.02334373638237795,0.0966017329318503,101,42859,,1331
2,1,LCE,0.01047486033519553,0.01047486033519553,0.01142997603392122,15,1417,,1417
2,3,LCE,0.02094972067039106,0.0148975791433892,0.020401892705708843,30,4266,,1402
2,10,LCE,0.0446927374301676,0.018908508468564338,0.0422171695446445,64,14256,,1368
2,20,LCE,0.06494413407821228,0.02029027206194497,0.0662446998095004,93,28547,,1339
2,30,LCE,0.0782122905027933,0.020812843116912186,0.08959626374976956,112,42848,,1320
3,1,LCE,0.01675977653631285,0.01675977653631285,0.011860136422294599,24,1408,,1408
3,3,LCE,0.029329608938547486,0.02222998137802607,0.021016407546242243,42,4254,,1390
3,10,LCE,0.051675977653631286,0.026554048062427952,0.04504393781109814,74,14246,,1358
3,20,LCE,0.07751396648044692,0.028335080526882897,0.068702759171634,111,28529,,1321
3,30,LCE,0.09706703910614525,0.029105842247679377,0.09211577459595649,139,42821,,1293
4,1,LCE,0.009776536312849162,0.009776536312849162,0.01179868493824126,14,1418,,1418
4,3,LCE,0.019553072625698324,0.013733705772811917,0.021139310514348923,28,4268,,1404
4,10,LCE,0.04329608938547486,0.017947204487008955,0.04541264671541818,62,14258,,1370
4,20,LCE,0.05935754189944134,0.019058687267161853,0.0716524304061943,85,28555,,1347
4,30,LCE,0.07192737430167598,0.019593556814819002,0.09592576660726357,103,42857,,1329
5,1,LCE,0.006983240223463687,0.006983240223463687,0.01118417009770786,10,1422,,1422
5,3,LCE,0.0111731843575419,0.008729050279329608,0.020401892705708843,16,4280,,1416
5,10,LCE,0.03212290502793296,0.01201726966391771,0.04424506851840472,46,14274,,1386
5,20,LCE,0.05097765363128492,0.013308282607375002,0.0705463036932342,73,28567,,1359
5,30,LCE,0.06005586592178771,0.013686048965532799,0.09236158053216985,86,42874,,1346
