alpha,beta,LCE
0.3,0.1,0.010467655404806243
0.1,0.0,0.013076394431143036
0.3,0.05,0.010476245898731933
0.5,0.3,0.010911035736454732
0.3,0.3,0.01207186086725193
0.9,0.0,0.00802102731222843
0.5,0.1,0.010706526558481866
0.7,0.1,0.007330185332978629
0.7,0.05,0.007519453312051077
0.9,0.05,0.005892801720315687
0.5,0.05,0.00978429546865301
0.7,0.0,0.007606743814844373
0.3,0.0,0.009961370488605126
0.9,0.3,0.004338199432473176
0.9,0.1,0.005124368183027401
0.1,0.1,0.010771093819278177
0.7,0.3,0.007465139221424138
0.1,0.3,0.011727409772102512
0.5,0.0,0.010464052939611598
0.1,0.05,0.012049968963376786
