rank,LCE
"('15',)",0.00855696328810854
"('250',)",0.01770583931896781
"('150',)",0.015292741863970914
"('1',)",0.006287687328190122
"('1500',)",0.021951483107209364
"('1250',)",0.020205950164050725
"('125',)",0.013385929325175136
"('200',)",0.016691329697614613
"('1000',)",0.01952425290414117
"('30',)",0.008705218586503503
"('100',)",0.013404495876562915
"('2000',)",0.02095692560078035
"('400',)",0.019575795867695308
"('75',)",0.011444200585262038
"('300',)",0.01873087922319766
"('50',)",0.009678992639886495
"('750',)",0.019589651503059323
"('500',)",0.018437971091602376
