type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs(cs),0.021505376344086023,0.02150537634408602,0.04692737430167598,70,3185,,3185
1,3,HybridSVDs(cs),0.04546850998463902,0.03128520225294419,0.08491620111731843,148,9617,,3107
1,10,HybridSVDs(cs),0.10076804915514594,0.04000219442615756,0.1723463687150838,328,32222,,2927
1,20,HybridSVDs(cs),0.14408602150537633,0.042921567460559626,0.26675977653631283,469,64631,,2786
1,30,HybridSVDs(cs),0.1791090629800307,0.04434605891359211,0.34874301675977654,583,97067,,2672
2,1,HybridSVDs(cs),0.016902274124154886,0.016902274124154883,0.048044692737430165,55,3199,,3199
2,3,HybridSVDs(cs),0.04363859864781807,0.028068018848596596,0.08603351955307263,142,9620,,3112
2,10,HybridSVDs(cs),0.09926244622003688,0.03700366337889386,0.1708100558659218,323,32217,,2931
2,20,HybridSVDs(cs),0.14751075599262448,0.04031615411934895,0.2687150837988827,480,64600,,2774
2,30,HybridSVDs(cs),0.18346650276582668,0.04177461164881676,0.3526536312849162,597,97023,,2657
3,1,HybridSVDs(cs),0.018125960061443933,0.018125960061443933,0.048044692737430165,59,3196,,3196
3,3,HybridSVDs(cs),0.03932411674347158,0.027240143369175625,0.08798882681564246,128,9637,,3127
3,10,HybridSVDs(cs),0.1010752688172043,0.03718247872625753,0.1738826815642458,329,32221,,2926
3,20,HybridSVDs(cs),0.14838709677419354,0.04045446645249045,0.267877094972067,483,64617,,2772
3,30,HybridSVDs(cs),0.18494623655913978,0.041945929978699274,0.3525139664804469,602,97048,,2653
4,1,HybridSVDs(cs),0.018131530424093423,0.01813153042409342,0.04748603351955307,59,3195,,3195
4,3,HybridSVDs(cs),0.04578979717271051,0.02970702724851465,0.0888268156424581,149,9613,,3105
4,10,HybridSVDs(cs),0.09926244622003688,0.03820816382279197,0.1738826815642458,323,32217,,2931
4,20,HybridSVDs(cs),0.1441303011677935,0.041285311173289006,0.2689944134078212,469,64611,,2785
4,30,HybridSVDs(cs),0.17609096496619545,0.042571107459041524,0.34874301675977654,573,97047,,2681
5,1,HybridSVDs(cs),0.016589861751152075,0.016589861751152072,0.0467877094972067,54,3201,,3201
5,3,HybridSVDs(cs),0.03963133640552995,0.026369687660010244,0.08435754189944134,129,9636,,3126
5,10,HybridSVDs(cs),0.09462365591397849,0.03557920659303147,0.17374301675977655,308,32242,,2947
5,20,HybridSVDs(cs),0.1456221198156682,0.038989811498122126,0.26536312849162014,474,64626,,2781
5,30,HybridSVDs(cs),0.17542242703533026,0.040180964990705545,0.3512569832402235,571,97079,,2684
