features_weight,rank,HybridSVDs(cs)
0.1,2000,0.030793041230829248
0.1,1750,0.031772242947358156
0.1,1500,0.03203801233755151
0.1,1250,0.03163521322507498
0.1,1000,0.030607490307951138
0.1,750,0.03141467339624021
0.1,500,0.03187379611342745
0.1,400,0.031570111915734035
0.1,350,0.031431253504986226
0.1,300,0.031400043888523146
0.1,250,0.03126386755419013
0.1,200,0.02945236876112452
0.1,150,0.02885914222319752
0.1,125,0.02844500524224026
0.1,100,0.02708860605173969
0.1,75,0.025218954965498745
0.1,60,0.024457611001389802
0.1,50,0.024422744007997464
0.1,30,0.022256113915100087
0.1,20,0.020033160217492015
0.1,15,0.018819520639797138
0.1,10,0.015632482383634457
0.1,5,0.014009704240118987
0.1,1,0.007495794016531344
0.3,2000,0.03217223807085558
0.3,1750,0.03207885304659498
0.3,1500,0.031969619388974226
0.3,1250,0.03265147636115378
0.3,1000,0.03211640211640211
0.3,750,0.03327115792553581
0.3,500,0.03272754980128252
0.3,400,0.03244190866310682
0.3,350,0.03246738838904738
0.3,300,0.034300709531124275
0.3,250,0.033512422890303074
0.3,200,0.03367980884109917
0.3,150,0.03297088727964304
0.3,125,0.03165727939921488
0.3,100,0.03219064686806622
0.3,75,0.02975544339599639
0.3,60,0.028460366225343182
0.3,50,0.02636651793333821
0.3,30,0.025197620266744693
0.3,20,0.017621363957769486
0.3,15,0.016303367225026212
0.3,10,0.015491063809036159
0.3,5,0.013400629068831833
0.3,1,0.007508594835783776
0.5,2000,0.03166703240435959
0.5,1750,0.03220296003706142
0.5,1500,0.03288859629873454
0.5,1250,0.03385816692268305
0.5,1000,0.03410369882720113
0.5,750,0.035867407895057664
0.5,500,0.03458330285519226
0.5,400,0.03639772754980128
0.5,350,0.036299831760661254
0.5,300,0.03625326116109526
0.5,250,0.03627569307292809
0.5,200,0.03566040036086119
0.5,150,0.03526869529173676
0.5,125,0.03269256089532587
0.5,100,0.031907809718869626
0.5,75,0.029441762368029645
0.5,60,0.02830785360739278
0.5,50,0.026555726233145588
0.5,30,0.024519542584058713
0.5,20,0.017583692975398045
0.5,15,0.01663667617584668
0.5,10,0.015258332723770512
0.5,5,0.013642747421549264
0.5,1,0.007518835491185721
0.7,2000,0.03289517957720722
0.7,1750,0.03370687343037573
0.7,1500,0.03388949845171043
0.7,1250,0.03420708068173506
0.7,1000,0.035871552922244164
0.7,750,0.0369074439811767
0.7,500,0.03783788067198206
0.7,400,0.038847194791895245
0.7,350,0.03744398117670007
0.7,300,0.03781971569990003
0.7,250,0.038177407163582276
0.7,200,0.037665008655792066
0.7,150,0.03548289566722747
0.7,125,0.034170141174749466
0.7,100,0.03134176968278351
0.7,75,0.028491697754370566
0.7,60,0.028837197961621923
0.7,50,0.026974252066417966
0.7,30,0.024169897349620852
0.7,20,0.017629532099578182
0.7,15,0.01699217321337137
0.7,10,0.015140443274083825
0.7,5,0.013639211957184306
0.7,1,0.007518835491185721
0.9,2000,0.03386219003730524
0.9,1750,0.03416136347011923
0.9,1500,0.03550666861726769
0.9,1250,0.03711323238973008
0.9,1000,0.03761026991441738
0.9,750,0.03852315119596225
0.9,500,0.04000219442615756
0.9,400,0.038942774242313405
0.9,350,0.03952539438714554
0.9,300,0.039009826152683294
0.9,250,0.03890863872430692
0.9,200,0.03817143344793114
0.9,150,0.03545936654231585
0.9,125,0.03404091385658206
0.9,100,0.03098919854680223
0.9,75,0.029072611123302367
0.9,60,0.028910955063028796
0.9,50,0.026914514909906616
0.9,30,0.024373857069709605
0.9,20,0.017420573964352766
0.9,15,0.017285616755662835
0.9,10,0.015048399288030622
0.9,5,0.013633725891790408
0.9,1,0.007518835491185721
