type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs,0.023044692737430168,0.02304469273743017,0.059362133595526334,33,1399,,1399
1,3,HybridSVDs,0.037011173184357544,0.028747672253258846,0.14398082713697535,53,4243,,1379
1,10,HybridSVDs,0.061452513966480445,0.03285531391327481,0.35985989061635837,88,14232,,1344
1,20,HybridSVDs,0.08449720670391062,0.034403067619347,0.5633257543169667,121,28519,,1311
1,30,HybridSVDs,0.09776536312849161,0.034916149639604904,0.6937872549622074,140,42820,,1292
2,1,HybridSVDs,0.013966480446927373,0.013966480446927373,0.05739568610581946,20,1412,,1412
2,3,HybridSVDs,0.025139664804469275,0.018738361266294228,0.1403551895778283,36,4260,,1396
2,10,HybridSVDs,0.05726256983240224,0.024131805888090805,0.35488232040803785,82,14238,,1350
2,20,HybridSVDs,0.08100558659217877,0.02581762359263462,0.5546610950654458,116,28524,,1316
2,30,HybridSVDs,0.09567039106145252,0.02641512404971646,0.6840164689977263,137,42823,,1295
3,1,HybridSVDs,0.020251396648044692,0.020251396648044692,0.057026977201499414,29,1403,,1403
3,3,HybridSVDs,0.04539106145251397,0.031191806331471134,0.13998648067350827,65,4231,,1367
3,10,HybridSVDs,0.07960893854748603,0.03669692737430168,0.3549437718920912,114,14206,,1318
3,20,HybridSVDs,0.09636871508379888,0.037836233022607704,0.5531862594481657,138,28502,,1294
3,30,HybridSVDs,0.10684357541899442,0.03824772659508538,0.6829103422847662,153,42807,,1279
4,1,HybridSVDs,0.02164804469273743,0.021648044692737428,0.05874761875499293,31,1401,,1401
4,3,HybridSVDs,0.04189944134078212,0.03037709497206704,0.14287470042401523,60,4236,,1372
4,10,HybridSVDs,0.07192737430167598,0.03499794936596612,0.36010569655257174,103,14217,,1329
4,20,HybridSVDs,0.0935754189944134,0.03648763220207389,0.5641246236096602,134,28506,,1298
4,30,HybridSVDs,0.10544692737430168,0.036993931277274614,0.6941559638665273,151,42809,,1281
5,1,HybridSVDs,0.02094972067039106,0.02094972067039106,0.05862471578688625,30,1402,,1402
5,3,HybridSVDs,0.0356145251396648,0.027118249534450654,0.14348921526454864,51,4245,,1381
5,10,HybridSVDs,0.0691340782122905,0.03272146847565842,0.3542678055675045,99,14221,,1333
5,20,HybridSVDs,0.09497206703910614,0.034553386444185215,0.556504639587046,136,28504,,1296
5,30,HybridSVDs,0.11173184357541899,0.03522728383869751,0.6867203342960733,160,42800,,1272
