features_weight,rank,HybridSVDs
0.1,2000,0.028697791965948388
0.1,1750,0.029944244923295203
0.1,1500,0.027475724926842245
0.1,1250,0.0275959918418019
0.1,1000,0.03126163873370577
0.1,750,0.02805655316130177
0.1,500,0.027768633058437527
0.1,400,0.02916223286335018
0.1,350,0.02674691850669504
0.1,300,0.027717644320297954
0.1,250,0.0269965970559546
0.1,200,0.024123769619579676
0.1,150,0.01933138245987408
0.1,125,0.018472055954597853
0.1,100,0.016055078921699033
0.1,75,0.015184390795424316
0.1,60,0.011810820696993882
0.1,50,0.010965072714374392
0.1,30,0.009345626053028288
0.1,20,0.007711492418196329
0.1,15,0.006460328544825752
0.1,10,0.005798029174425822
0.1,5,0.007401126186042388
0.1,1,0.00566806331471136
0.3,2000,0.03243243992196506
0.3,1750,0.03145561762880199
0.3,1500,0.029672397357453226
0.3,1250,0.028327846501729183
0.3,1000,0.030925501019774766
0.3,750,0.031108118293872486
0.3,500,0.02755691895007538
0.3,400,0.027820453134698945
0.3,350,0.027254311873725283
0.3,300,0.025658419792498006
0.3,250,0.02204708699122107
0.3,200,0.021231267180987855
0.3,150,0.019732087434601402
0.3,125,0.01830717389376607
0.3,100,0.01808714640418551
0.3,75,0.01307057506429015
0.3,60,0.009479194377937395
0.3,50,0.008306176288019863
0.3,30,0.007292498004788507
0.3,20,0.00509582557417753
0.3,15,0.004955883657000976
0.3,10,0.005164272412875765
0.3,5,0.006597222222222223
0.3,1,0.00566806331471136
0.5,2000,0.032797397357453226
0.5,1750,0.03285531391327481
0.5,1500,0.02967987940054979
0.5,1250,0.028145229227631463
0.5,1000,0.03029506961071207
0.5,750,0.02964080650882327
0.5,500,0.025625720493038927
0.5,400,0.024657765806508823
0.5,350,0.022969595193757207
0.5,300,0.022905859271082733
0.5,250,0.019546144808016322
0.5,200,0.018944533120510774
0.5,150,0.01852941828500488
0.5,125,0.017118637492240844
0.5,100,0.0178044914427596
0.5,75,0.012189079542431498
0.5,60,0.00972859581448967
0.5,50,0.008551698146670214
0.5,30,0.007151447636782832
0.5,20,0.004593697348585617
0.5,15,0.0049093287221778845
0.5,10,0.004955883657000976
0.5,5,0.006710561319499868
0.5,1,0.00566806331471136
0.7,2000,0.029684867429280837
0.7,1750,0.02953300966569123
0.7,1500,0.029209896249002394
0.7,1250,0.027165081581981027
0.7,1000,0.02760513656114215
0.7,750,0.026624988915491712
0.7,500,0.024434412964440898
0.7,400,0.02258219162897934
0.7,350,0.02266587966657799
0.7,300,0.021424968963376787
0.7,250,0.020588642812804828
0.7,200,0.016845681475569745
0.7,150,0.015481455617628802
0.7,125,0.016812705063403387
0.7,100,0.016519519819100825
0.7,75,0.011200895628269932
0.7,60,0.009828910614525139
0.7,50,0.00834885164494103
0.7,30,0.006538474328278798
0.7,20,0.004385585705418108
0.7,15,0.0045609980491265415
0.7,10,0.005035415003990424
0.7,5,0.006619391238804647
0.7,1,0.00566806331471136
0.9,2000,0.025184834175755965
0.9,1750,0.02607298040258934
0.9,1500,0.025702757825662854
0.9,1250,0.026062727232419973
0.9,1000,0.024838997517070145
0.9,750,0.025905327214684755
0.9,500,0.022751507493127605
0.9,400,0.023522712157488693
0.9,350,0.021697093641926044
0.9,300,0.020818923472554755
0.9,250,0.020074321628092577
0.9,200,0.017073745233661432
0.9,150,0.015362020040790991
0.9,125,0.015708965150305933
0.9,100,0.01564218098785138
0.9,75,0.011964895362241733
0.9,60,0.009261383790015076
0.9,50,0.008515119269309214
0.9,30,0.006248337323756318
0.9,20,0.004496153675622949
0.9,15,0.00456875720493039
0.9,10,0.00505869247140197
0.9,5,0.006636018001241466
0.9,1,0.00566806331471136
