type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs(cs),0.016282642,0.016282642,0.050837989,53,3202,,3202
1,3,PureSVDs(cs),0.039631336,0.026369688,0.060614525,129,9636,,3126
1,10,PureSVDs(cs),0.08172043,0.033252018,0.077932961,266,32284,,2989
1,20,PureSVDs(cs),0.114900154,0.035520687,0.09650838,374,64726,,2881
1,30,PureSVDs(cs),0.140092166,0.036530755,0.109636872,456,97194,,2799
2,1,PureSVDs(cs),0.015980332,0.015980332,0.052094972,52,3202,,3202
2,3,PureSVDs(cs),0.037185003,0.025609506,0.061173184,121,9641,,3133
2,10,PureSVDs(cs),0.083282114,0.033189066,0.078351955,271,32269,,2983
2,20,PureSVDs(cs),0.115857406,0.035439964,0.098184358,377,64703,,2877
2,30,PureSVDs(cs),0.141671789,0.036493919,0.113687151,461,97159,,2793
3,1,PureSVDs(cs),0.013824885,0.013824885,0.050977654,45,3210,,3210
3,3,PureSVDs(cs),0.035330261,0.023143881,0.06103352,115,9650,,3140
3,10,PureSVDs(cs),0.079877112,0.030322581,0.077793296,260,32290,,2995
3,20,PureSVDs(cs),0.119201229,0.033021201,0.095391061,388,64712,,2867
3,30,PureSVDs(cs),0.139170507,0.0338393,0.112150838,453,97197,,2802
4,1,PureSVDs(cs),0.013214505,0.013214505,0.050837989,43,3211,,3211
4,3,PureSVDs(cs),0.036570375,0.022946118,0.06075419,119,9643,,3135
4,10,PureSVDs(cs),0.085433313,0.030990429,0.077932961,278,32262,,2976
4,20,PureSVDs(cs),0.113706208,0.032922911,0.096787709,370,64710,,2884
4,30,PureSVDs(cs),0.137676706,0.033886295,0.111871508,448,97172,,2806
5,1,PureSVDs(cs),0.011059908,0.011059908,0.051815642,36,3219,,3219
5,3,PureSVDs(cs),0.030107527,0.018996416,0.062430168,98,9667,,3157
5,10,PureSVDs(cs),0.077112135,0.026586936,0.078212291,251,32299,,3004
5,20,PureSVDs(cs),0.110291859,0.028890376,0.097765363,359,64741,,2896
5,30,PureSVDs(cs),0.13640553,0.029919685,0.114664804,444,97206,,2811
