col_scaling,rank,PureSVDs(cs)
0.2,2000,0.029073586
0.2,1750,0.029687904
0.2,1500,0.032004486
0.2,1250,0.032373881
0.2,1000,0.031442713
0.2,750,0.031298369
0.2,500,0.032112257
0.2,400,0.033252018
0.2,350,0.032683052
0.2,300,0.032237827
0.2,250,0.032265135
0.2,200,0.031035403
0.2,150,0.028806232
0.2,125,0.027224417
0.2,100,0.025760491
0.2,75,0.025939214
0.2,60,0.023999464
0.2,50,0.023843537
0.2,30,0.021780899
0.2,20,0.017864701
0.2,15,0.016599371
0.2,10,0.015726111
0.2,5,0.016456124
0.2,1,0.007534196
0.4,2000,0.029955014
0.4,1750,0.031378222
0.4,1500,0.032534075
0.4,1250,0.032238802
0.4,1000,0.031412601
0.4,750,0.031000415
0.4,500,0.032634531
0.4,400,0.032581255
0.4,350,0.032211494
0.4,300,0.032194792
0.4,250,0.032077024
0.4,200,0.030355131
0.4,150,0.028674567
0.4,125,0.027101773
0.4,100,0.025102894
0.4,75,0.026108307
0.4,60,0.02413052
0.4,50,0.023236535
0.4,30,0.021133787
0.4,20,0.018134128
0.4,15,0.015884963
0.4,10,0.015532758
0.4,5,0.01618182
0.4,1,0.007354985
0.6,2000,0.02983615
0.6,1750,0.030863385
0.6,1500,0.032588569
0.6,1250,0.031523907
0.6,1000,0.031135859
0.6,750,0.032344135
0.6,500,0.03303989
0.6,400,0.032071294
0.6,350,0.0321392
0.6,300,0.032299637
0.6,250,0.03145527
0.6,200,0.030455831
0.6,150,0.027625143
0.6,125,0.025749275
0.6,100,0.024946602
0.6,75,0.024946968
0.6,60,0.023293224
0.6,50,0.022695487
0.6,30,0.021185234
0.6,20,0.017514203
0.6,15,0.015091556
0.6,10,0.014313388
0.6,5,0.015919952
0.6,1,0.006974618
