type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs,0.0223463687150838,0.0223463687150838,0.06188164444171327,32,1400,,1400
1,3,PureSVDs,0.034916201117318434,0.02781657355679702,0.1577459595649235,50,4246,,1382
1,10,PureSVDs,0.04818435754189944,0.030045945286867076,0.4039206046826031,69,14251,,1363
1,20,PureSVDs,0.06354748603351955,0.031033704982624637,0.6060959872180913,91,28549,,1341
1,30,PureSVDs,0.07192737430167598,0.03137759820695264,0.7262336385423708,103,42857,,1329
2,1,PureSVDs,0.014664804469273743,0.014664804469273743,0.06095987218091317,21,1411,,1411
2,3,PureSVDs,0.025139664804469275,0.019087523277467412,0.15694709027223008,36,4260,,1396
2,10,PureSVDs,0.04888268156424581,0.0231990445153853,0.3988815829902292,70,14250,,1362
2,20,PureSVDs,0.06843575418994413,0.024595155601336745,0.5945431082160634,98,28542,,1334
2,30,PureSVDs,0.07681564245810056,0.02492675746515783,0.7114852823695692,110,42850,,1322
3,1,PureSVDs,0.0223463687150838,0.022346368715083796,0.06083696921280649,32,1400,,1400
3,3,PureSVDs,0.0356145251396648,0.02839851024208566,0.1560867694954833,51,4245,,1381
3,10,PureSVDs,0.06005586592178771,0.03268017868227366,0.3951944939470288,86,14234,,1346
3,20,PureSVDs,0.07960893854748603,0.03404229310745236,0.589749892459903,114,28526,,1318
3,30,PureSVDs,0.08729050279329609,0.034339766672328534,0.7069993240336754,125,42835,,1307
4,1,PureSVDs,0.020251396648044692,0.020251396648044692,0.06145148405333989,29,1403,,1403
4,3,PureSVDs,0.03212290502793296,0.02490689013035382,0.1582375714373502,46,4250,,1386
4,10,PureSVDs,0.04329608938547486,0.02661639842156602,0.4006636760277761,62,14258,,1370
4,20,PureSVDs,0.06564245810055866,0.0281853716271794,0.6059730842499846,94,28546,,1338
4,30,PureSVDs,0.07472067039106145,0.02854142554119421,0.7235912247280771,107,42853,,1325
5,1,PureSVDs,0.012569832402234637,0.012569832402234637,0.06255761076630001,18,1414,,1414
5,3,PureSVDs,0.029329608938547486,0.020018621973929236,0.16217046641676397,42,4254,,1390
5,10,PureSVDs,0.04818435754189944,0.022997860689899795,0.4022614146131629,69,14251,,1363
5,20,PureSVDs,0.06215083798882681,0.023960350564333825,0.6078166287715848,89,28551,,1343
5,30,PureSVDs,0.0712290502793296,0.024333703789586866,0.7234068702759172,102,42858,,1330
