type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,SGD,0.013268156424581005,0.013268156424581005,0.01634609475818841,19,1413,,1413
1,3,SGD,0.027932960893854747,0.019553072625698324,0.03742395378848399,40,4256,,1392
1,10,SGD,0.0467877094972067,0.022305910259820875,0.08805997664843605,67,14253,,1365
1,20,SGD,0.06773743016759777,0.023748814309305817,0.1395563202851349,97,28543,,1335
1,30,SGD,0.08170391061452514,0.024280086946941476,0.18404719473975298,117,42843,,1315
2,1,SGD,0.013966480446927373,0.013966480446927373,0.015239968045228293,20,1412,,1412
2,3,SGD,0.030027932960893854,0.021066108007448788,0.036010569655257174,43,4253,,1389
2,10,SGD,0.05097765363128492,0.02481932251485324,0.0819762797271554,73,14247,,1359
2,20,SGD,0.07192737430167598,0.02626380156631856,0.13408713820438764,103,28537,,1329
2,30,SGD,0.0935754189944134,0.027109334939046787,0.1796226878879125,134,42826,,1298
3,1,SGD,0.01675977653631285,0.016759776536312852,0.01610028882197505,24,1408,,1408
3,3,SGD,0.0335195530726257,0.023510242085661083,0.036686535979843914,48,4248,,1384
3,10,SGD,0.06215083798882681,0.028161855990068277,0.08529465986603577,89,14231,,1343
3,20,SGD,0.07960893854748603,0.029278317067699948,0.1360535856940945,114,28526,,1318
3,30,SGD,0.09567039106145252,0.029898153186099636,0.17704172555767222,137,42823,,1295
4,1,SGD,0.015363128491620111,0.015363128491620113,0.014994162109014933,22,1410,,1410
4,3,SGD,0.025837988826815643,0.020018621973929236,0.03785411417685737,37,4259,,1395
4,10,SGD,0.051675977653631286,0.024158408707989715,0.08885884594112947,74,14246,,1358
4,20,SGD,0.07402234636871509,0.0257152065091339,0.14459534197750876,106,28534,,1326
4,30,SGD,0.08798882681564246,0.026286469717036194,0.18754992933079334,126,42834,,1306
5,1,SGD,0.009078212290502794,0.009078212290502794,0.01653044921034843,13,1419,,1419
5,3,SGD,0.015363128491620111,0.01175512104283054,0.03791556566091071,22,4274,,1410
5,10,SGD,0.03910614525139665,0.015473142236410393,0.08584772322251583,56,14264,,1376
5,20,SGD,0.05656424581005587,0.016677084980146795,0.14103115590241505,81,28559,,1351
5,30,SGD,0.07262569832402235,0.01729749578790108,0.18638235113377988,104,42856,,1328
