regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
3e-08,3e-06,40,0.99,4.873356
1e-08,1e-10,40,0.99,4.811745
1e-06,1e-08,40,0.99,4.850535
3e-07,1e-08,40,0.95,4.713316
3e-07,1e-08,40,0.99,4.70824
1e-06,3e-09,40,0.95,5.010715
3e-07,3e-08,40,0.95,4.845394
3e-07,3e-08,40,0.9,4.922069
1e-07,1e-06,40,0.99,4.978361
3e-09,1e-10,40,0.99,4.752072
3e-06,1e-08,40,0.95,5.263082
1e-08,3e-06,40,0.99,5.080205
3e-09,3e-06,40,0.95,5.135208
3e-07,3e-10,40,0.9,4.850176
1e-10,3e-07,40,0.95,4.839457
3e-07,1e-10,40,0.99,4.959171
3e-10,1e-08,40,0.95,5.063544
1e-10,3e-09,40,0.99,4.820511
3e-06,1e-09,40,0.9,5.159254
3e-08,1e-09,40,0.95,4.831165
3e-10,3e-08,40,0.9,5.072127
1e-08,1e-06,40,0.99,5.029911
1e-08,1e-06,40,0.95,5.108808
3e-10,3e-08,40,0.99,5.007041
1e-09,1e-09,40,0.99,4.863003
1e-09,1e-09,40,0.9,4.95789
1e-06,3e-10,40,0.9,5.1343
1e-06,1e-06,40,0.99,5.115191
3e-07,3e-06,40,0.95,4.705939
3e-07,3e-06,40,0.99,5.102965
3e-10,1e-09,40,0.95,4.773114
3e-10,1e-09,40,0.99,5.203383
3e-09,3e-10,40,0.99,4.929191
1e-08,3e-10,40,0.95,5.31634
1e-08,3e-10,40,0.99,4.814069
1e-09,1e-06,40,0.95,5.031953
3e-10,3e-07,40,0.95,4.882434
3e-10,1e-10,40,0.9,4.93464
3e-10,1e-10,40,0.95,4.94162
1e-10,1e-06,40,0.9,4.78156
3e-07,1e-06,40,0.95,4.821844
1e-09,1e-08,40,0.95,4.862684
3e-07,1e-06,40,0.9,5.011674
3e-10,3e-10,40,0.95,4.87362
1e-09,3e-08,40,0.99,4.81902
3e-08,3e-10,40,0.99,4.679725
1e-09,3e-06,40,0.95,5.105682
3e-09,1e-07,40,0.95,5.145692
3e-06,3e-06,40,0.99,5.099707
1e-07,1e-07,40,0.99,5.101232
1e-07,1e-09,40,0.95,5.054709
1e-08,3e-08,40,0.9,4.896189
3e-08,3e-07,40,0.99,4.442127
3e-08,1e-10,40,0.9,4.882546
1e-09,1e-10,40,0.99,4.910892
3e-10,1e-06,40,0.99,4.640702
3e-09,1e-08,40,0.95,4.663633
3e-06,3e-09,40,0.9,4.619141
3e-06,3e-09,40,0.95,4.99457
1e-09,3e-09,40,0.95,4.536913
