regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
3e-08,3e-06,40,0.99,0.0059141393987762695
1e-08,1e-10,40,0.99,0.0048963044249357105
1e-06,1e-08,40,0.99,0.00790159173539062
3e-07,1e-08,40,0.95,0.004380597676687062
3e-07,1e-08,40,0.99,0.007686829387248381
1e-06,3e-09,40,0.95,0.006751019774762791
3e-07,3e-08,40,0.95,0.005239924181963288
3e-07,3e-08,40,0.9,0.004447658951848897
1e-07,1e-06,40,0.99,0.005730690786556709
3e-09,1e-10,40,0.99,0.003509078212290503
3e-06,1e-08,40,0.95,0.011699421388667199
1e-08,3e-06,40,0.99,0.004292752948479205
3e-09,3e-06,40,0.95,0.004818158641482664
3e-07,3e-10,40,0.9,0.004896858650350271
1e-10,3e-07,40,0.95,0.004473984659040526
3e-07,1e-10,40,0.99,0.0037715039460849524
3e-10,1e-08,40,0.95,0.007495067393810411
1e-10,3e-09,40,0.99,0.006127516183382106
3e-06,1e-09,40,0.9,0.008687760485944843
3e-08,1e-09,40,0.95,0.004595360024829299
3e-10,3e-08,40,0.9,0.005080307262569833
1e-08,1e-06,40,0.99,0.008112751618338212
1e-08,1e-06,40,0.95,0.0028259953888445507
3e-10,3e-08,40,0.99,0.005531723862729449
1e-09,1e-09,40,0.99,0.00297923871597056
1e-09,1e-09,40,0.9,0.005919127427507316
1e-06,3e-10,40,0.9,0.006112829209896249
1e-06,1e-06,40,0.99,0.005155404806242795
3e-07,3e-06,40,0.95,0.007504766338565221
3e-07,3e-06,40,0.99,0.004747217788418906
3e-10,1e-09,40,0.95,0.004897689988472112
3e-10,1e-09,40,0.99,0.00446927374301676
3e-09,3e-10,40,0.99,0.005855945730247406
1e-08,3e-10,40,0.95,0.005048162188525317
1e-08,3e-10,40,0.99,0.004376163873370578
1e-09,1e-06,40,0.95,0.0032344595193757207
3e-10,3e-07,40,0.95,0.0033184246696816525
3e-10,1e-10,40,0.9,0.005148754101268068
3e-10,1e-10,40,0.95,0.0037989381041057023
1e-10,1e-06,40,0.9,0.005001330140994946
3e-07,1e-06,40,0.95,0.0054677108273477
1e-09,1e-08,40,0.95,0.005465771038396737
3e-07,1e-06,40,0.9,0.006215915137004523
3e-10,3e-10,40,0.95,0.004506961071206881
1e-09,3e-08,40,0.99,0.003945253613549703
3e-08,3e-10,40,0.99,0.007227376518577636
1e-09,3e-06,40,0.95,0.003641815199077769
3e-09,1e-07,40,0.95,0.006276048594484348
3e-06,3e-06,40,0.99,0.010664405426975259
1e-07,1e-07,40,0.99,0.003000853507138423
1e-07,1e-09,40,0.95,0.00595016405072271
1e-08,3e-08,40,0.9,0.006814478584729982
3e-08,3e-07,40,0.99,0.004848086813868937
3e-08,1e-10,40,0.9,0.005367950252726789
1e-09,1e-10,40,0.99,0.005860933758978452
3e-10,1e-06,40,0.99,0.00382470958588277
3e-09,1e-08,40,0.95,0.004466225503236677
3e-06,3e-09,40,0.9,0.009871863084153587
3e-06,3e-09,40,0.95,0.008823545712512194
1e-09,3e-09,40,0.95,0.004143389199255121
