type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD(cs),0.004873294346978557,0.004873294346978557,0.005745232603120478,10,2042,,2042
1,1,SIM(cs),0.00341130604288499,0.00341130604288499,0.0003868361104345459,7,2045,,2045
1,1,MP(cs),0.0024366471734892786,0.0024366471734892786,1.4327263349427626e-05,5,2047,,2047
1,1,RND(cs),0.0,0.0,0.028883762912446095,0,2052,,2052
1,3,PureSVD(cs),0.015594541910331383,0.009421702404158544,0.015172571887043856,32,6124,,2020
1,3,SIM(cs),0.013157894736842105,0.007553606237816764,0.0011748355946530652,27,6129,,2025
1,3,MP(cs),0.008771929824561403,0.00527940220922677,4.298179004828288e-05,18,6138,,2034
1,3,RND(cs),0.0,0.0,0.0841726721778873,0,6156,,2052
1,10,PureSVD(cs),0.031189083820662766,0.012016538259228316,0.04397037121939339,64,20456,,1988
1,10,SIM(cs),0.026803118908382065,0.009914253225656734,0.0035101795206097684,55,20465,,1997
1,10,MP(cs),0.020955165692007796,0.007241289953278256,0.00014327263349427625,43,20477,,2009
1,10,RND(cs),0.0,0.0,0.25458114245597946,0,20520,,2052
1,20,PureSVD(cs),0.04434697855750487,0.012887073696451694,0.0774245311403069,91,40949,,1961
1,20,SIM(cs),0.042884990253411304,0.01102630135845107,0.006404286717194149,88,40952,,1964
1,20,MP(cs),0.032651072124756333,0.008022182466977697,0.0002865452669885525,67,40973,,1985
1,20,RND(cs),0.0,0.0,0.44593607175093486,0,41040,,2052
1,30,PureSVD(cs),0.054093567251461985,0.013279351287224336,0.10920240124933736,111,61449,,1941
1,30,SIM(cs),0.05555555555555555,0.011531843799436607,0.009441666547272805,114,61446,,1938
1,30,MP(cs),0.04922027290448343,0.008678396902662047,0.0004298179004828288,101,61459,,1951
1,30,RND(cs),0.0,0.0,0.5859993982549393,0,61560,,2052
2,1,PureSVD(cs),0.005363237445148708,0.005363237445148708,0.006117741450205596,11,2040,,2040
2,1,SIM(cs),0.0034129692832764505,0.0034129692832764505,0.00035818158373569065,7,2044,,2044
2,1,MP(cs),0.0019502681618722574,0.0019502681618722574,1.4327263349427626e-05,4,2047,,2047
2,1,RND(cs),0.0,0.0,0.028869435649096668,0,2051,,2051
2,3,PureSVD(cs),0.018527547537786446,0.011295303104176823,0.015287189993839276,38,6115,,2013
2,3,SIM(cs),0.014139444173573866,0.00820737851454575,0.0010029084344599338,29,6124,,2022
2,3,MP(cs),0.011701608971233545,0.0064196326994961795,4.298179004828288e-05,24,6129,,2027
2,3,RND(cs),0.0,0.0,0.08412969038783902,0,6153,,2051
2,10,PureSVD(cs),0.04290589956118966,0.015430142477924047,0.04243735404100463,88,20422,,1963
2,10,SIM(cs),0.03851779619697709,0.011828918142911315,0.0031519979368740776,79,20431,,1972
2,10,MP(cs),0.028766455387615797,0.009221982308281675,0.00014327263349427625,59,20451,,1992
2,10,RND(cs),0.0,0.0,0.2544521970858346,0,20510,,2051
2,20,PureSVD(cs),0.05802047781569966,0.01645544386373069,0.07669384070948608,119,40901,,1932
2,20,SIM(cs),0.060945880058508047,0.013366479692654495,0.005888505236614754,125,40895,,1926
2,20,MP(cs),0.046318868844466114,0.010323409206646712,0.0002865452669885525,95,40925,,1956
2,20,RND(cs),0.0,0.0,0.4457641445907417,0,41020,,2051
2,30,PureSVD(cs),0.07118478790833739,0.017007455766522593,0.10580683983552301,146,61384,,1905
2,30,SIM(cs),0.07411019015114578,0.013880642775568552,0.00856770348295772,152,61378,,1899
2,30,MP(cs),0.061921014139444175,0.010944008804415453,0.0004298179004828288,127,61403,,1924
2,30,RND(cs),0.00048756704046806434,1.7413108588145153e-05,0.5858417983580956,1,61529,,2050
3,1,PureSVD(cs),0.009259259259259259,0.009259259259259259,0.006074759660157313,19,2033,,2033
3,1,SIM(cs),0.005360623781676413,0.005360623781676413,0.00035818158373569065,11,2041,,2041
3,1,MP(cs),0.0029239766081871343,0.0029239766081871343,1.4327263349427626e-05,6,2046,,2046
3,1,RND(cs),0.0,0.0,0.028883762912446095,0,2052,,2052
3,3,PureSVD(cs),0.018031189083820662,0.01299545159194282,0.015057953780248434,37,6119,,2015
3,3,SIM(cs),0.01608187134502924,0.010396361273554255,0.0010458902245082168,33,6123,,2019
3,3,MP(cs),0.012670565302144249,0.0073911630929174785,4.298179004828288e-05,26,6130,,2026
3,3,RND(cs),0.0,0.0,0.0841726721778873,0,6156,,2052
3,10,PureSVD(cs),0.042884990253411304,0.017211624740864507,0.0430964081550783,88,20432,,1964
3,10,SIM(cs),0.03654970760233918,0.013731473746093625,0.003209306990271788,75,20445,,1977
3,10,MP(cs),0.02729044834307992,0.009755677774683624,0.00014327263349427625,56,20464,,1996
3,10,RND(cs),0.0,0.0,0.25458114245597946,0,20520,,2052
3,20,PureSVD(cs),0.06432748538011696,0.01873546890837279,0.07720962219006547,132,40908,,1920
3,20,SIM(cs),0.05555555555555555,0.015012074869010487,0.006003123343410175,114,40926,,1938
3,20,MP(cs),0.04483430799220273,0.010887692005468063,0.0002865452669885525,92,40948,,1960
3,20,RND(cs),0.0,0.0,0.44593607175093486,0,41040,,2052
3,30,PureSVD(cs),0.07358674463937621,0.01910586306236491,0.10682407553333238,151,61409,,1901
3,30,SIM(cs),0.07163742690058479,0.01567113820554722,0.008381449059415161,147,61413,,1905
3,30,MP(cs),0.06286549707602339,0.011615517966697058,0.0004298179004828288,129,61431,,1923
3,30,RND(cs),0.0,0.0,0.5859993982549393,0,61560,,2052
4,1,PureSVD(cs),0.007313505607020965,0.007313505607020964,0.005802541656518188,15,2036,,2036
4,1,SIM(cs),0.0039005363237445147,0.0039005363237445143,0.0005157814805793945,8,2043,,2043
4,1,MP(cs),0.0034129692832764505,0.00341296928327645,1.4327263349427626e-05,7,2044,,2044
4,1,RND(cs),0.0,0.0,0.028869435649096668,0,2051,,2051
4,3,PureSVD(cs),0.015114578254509995,0.010401430196652038,0.014556499563018467,31,6122,,2020
