type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD,0.06286329386437028,0.0628632938643703,0.02583601442917032,876,13059,,13059
1,1,SIM,0.0007893792608539648,0.0007893792608539649,0.013649215170127718,11,13924,,13924
1,1,MP,0.020165052027269464,0.020165052027269467,0.0029248318221702253,281,13654,,13654
1,1,RND,0.0,0.0,0.7450521595008287,0,13935,,13935
1,3,PureSVD,0.13189809831359886,0.0927042219830164,0.03626791459491079,1838,39967,,12097
1,3,SIM,0.0022246142805884463,0.0014113144360722403,0.028663351857268208,31,41774,,13904
1,3,MP,0.045496950125583066,0.030917354383446956,0.004484742127327679,634,41171,,13301
1,3,RND,0.00014352350197344816,7.176175098672408e-05,0.9813785707321829,2,41803,,13933
1,10,PureSVD,0.25984930032292786,0.11393166117062781,0.059569074778200254,3621,135729,,10314
1,10,SIM,0.004879799067097237,0.001815116669799124,0.09086477527542167,68,139282,,13867
1,10,MP,0.09860064585575888,0.04007515050033887,0.008579506678365994,1374,137976,,12561
1,10,RND,0.0007893792608539648,0.00014998775493931576,1.0,11,139339,,13924
1,20,PureSVD,0.357875852170793,0.1206441948694679,0.07711806571122161,4987,273713,,8948
1,20,SIM,0.007678507355579476,0.002006573023520905,0.16115823340157942,107,278593,,13828
1,20,MP,0.15995694294940796,0.0443186710051277,0.01277176562347665,2229,276471,,11706
1,20,RND,0.0015069967707212056,0.00019589129182986557,1.0,21,278679,,13914
1,30,PureSVD,0.42059562253318983,0.12315151052378216,0.09154723603392804,5861,412189,,8074
1,30,SIM,0.01054897739504844,0.0021155064254477457,0.22374963439602222,147,417903,,13788
1,30,MP,0.1993541442411195,0.045894360213252036,0.016574046992297944,2778,415272,,11157
1,30,RND,0.0022246142805884463,0.0002236529306906911,1.0,31,418019,,13904
2,1,PureSVD,0.0617248548283031,0.0617248548283031,0.027980891098761822,861,13088,,13088
2,1,SIM,0.0005018280880349846,0.0005018280880349845,0.013649215170127718,7,13942,,13942
2,1,MP,0.02086171051688293,0.02086171051688293,0.003022326216242566,291,13658,,13658
2,1,RND,7.168972686214065e-05,7.168972686214065e-05,0.7452471482889734,1,13948,,13948
2,3,PureSVD,0.12975840562047458,0.0909981599636772,0.03968021838744272,1810,40037,,12139
2,3,SIM,0.0012187253566563912,0.0008124835711042608,0.029150823827629912,17,41830,,13932
2,3,MP,0.04767366836332353,0.03237985996606686,0.005069708491761723,665,41182,,13284
2,3,RND,0.0002867589074485626,0.00017922431715535164,0.9817685483084723,4,41843,,13945
2,10,PureSVD,0.2498386981145602,0.11092366523401004,0.06122647947743005,3485,136005,,10464
2,10,SIM,0.004014624704279877,0.001284099559961629,0.09115725845763868,56,139434,,13893
2,10,MP,0.10308982722775827,0.041621746794160586,0.00935946183094472,1438,138052,,12511
2,10,RND,0.0010753459029321098,0.0002996459893011617,1.0,15,139475,,13934
2,20,PureSVD,0.34776686500824433,0.11763316313907177,0.07809300965194502,4851,274129,,9098
2,20,SIM,0.006237006237006237,0.0014404711616075568,0.1628156381008092,87,278893,,13862
2,20,MP,0.16567495877840704,0.04586881974991623,0.014526664716778786,2311,276669,,11638
2,20,RND,0.0017205534446913756,0.0003397388641001652,1.0,24,278956,,13925
2,30,PureSVD,0.4127894472722059,0.12023656016971142,0.09154723603392804,5758,412712,,8191
2,30,SIM,0.008531077496594737,0.001533915790722017,0.2213122745442137,119,418351,,13830
2,30,MP,0.20116137357516667,0.047275008549119396,0.019011406844106463,2806,415664,,11143
2,30,RND,0.002652519893899204,0.0003771902926133573,1.0,37,418433,,13912
3,1,PureSVD,0.06414119672836849,0.06414119672836849,0.02719828426593878,894,13044,,13044
3,1,SIM,0.000502224135457024,0.000502224135457024,0.013452914798206279,7,13931,,13931
3,1,MP,0.022026115655043765,0.022026115655043765,0.003217001364788458,307,13631,,13631
3,1,RND,0.0,0.0,0.739520374341977,0,13938,,13938
3,3,PureSVD,0.1314392308796097,0.09281580331946238,0.03918892571651394,1832,39982,,12106
3,3,SIM,0.0013631797962404936,0.0008729133782943511,0.02700331448625463,19,41795,,13919
3,3,MP,0.05015066724063711,0.0342349452336538,0.00545915383115617,699,41115,,13239
3,3,RND,0.00021523891519586742,7.174630506528914e-05,0.9839149931760577,3,41811,,13935
3,10,PureSVD,0.25742574257425743,0.1139428979129797,0.06053811659192825,3588,135792,,10350
3,10,SIM,0.004017793083656192,0.0013105658391926148,0.08520179372197309,56,139324,,13882
3,10,MP,0.10518008322571387,0.04351740815903536,0.010138428543575747,1466,137914,,12472
3,10,RND,0.000502224135457024,0.0001222534261707744,1.0,7,139373,,13931
3,20,PureSVD,0.358803271631511,0.12088972231389757,0.07711054786508091,5001,273759,,8937
3,20,SIM,0.006528913760941312,0.0014878938418145886,0.14837200233963735,91,278669,,13847
3,20,MP,0.1670971444970584,0.04778158700651367,0.015207642815363619,2329,276431,,11609
3,20,RND,0.0011479408810446262,0.00016421094673101458,1.0,16,278744,,13922
3,30,PureSVD,0.42502511120677283,0.12354482835701473,0.09153831156170794,5924,412216,,8014
3,30,SIM,0.00911178074329172,0.0015896489237157362,0.20754533047377657,127,418013,,13811
3,30,MP,0.20454871574113934,0.0492772287064441,0.020179372197309416,2851,415289,,11087
3,30,RND,0.002582866982350409,0.0002208171819278942,1.0,36,418104,,13902
4,1,PureSVD,0.06496952312656866,0.06496952312656866,0.026615969581749048,906,13039,,13039
4,1,SIM,0.0007171029042667623,0.0007171029042667622,0.013649215170127718,10,13935,,13935
4,1,MP,0.02187163858013625,0.02187163858013625,0.0032173150043872476,305,13640,,13640
4,1,RND,0.00014342058085335246,0.00014342058085335246,0.7443696987423223,2,13943,,13943
4,3,PureSVD,0.13460021513087128,0.0949205210947771,0.037827824900068245,1877,39958,,12068
4,3,SIM,0.001577626389386877,0.0010995577865423687,0.02778590231061714,22,41813,,13923
4,3,MP,0.05005378271782001,0.03388311222660452,0.004972214097689383,698,41137,,13247
4,3,RND,0.0002868411617067049,0.00020317915620891597,0.9811835819440382,4,41831,,13941
