regularization,linear_regularization,rank,adagrad_momentum_weighting,FM(cs)
1e-09,3e-10,40,0.99,0.01175662922738946
1e-08,1e-10,40,0.95,0.012965863733407593
1e-08,3e-07,40,0.95,0.01122636839011108
3e-07,1e-08,40,0.95,0.010977288901265508
3e-10,3e-06,40,0.95,0.011613137782728426
3e-07,1e-08,40,0.99,0.012919258021597203
3e-08,3e-08,40,0.95,0.0095477892261518
3e-08,1e-08,40,0.9,0.014180899780314983
3e-08,1e-08,40,0.95,0.010054070361087904
3e-08,1e-08,40,0.99,0.010413959280918346
3e-06,3e-08,40,0.99,0.018026354466412944
3e-09,3e-07,40,0.99,0.011160810978062439
3e-09,1e-10,40,0.9,0.011679855502954918
3e-06,1e-08,40,0.9,0.02050399919551966
1e-09,1e-07,40,0.95,0.01145224171539961
1e-08,3e-06,40,0.95,0.013568643831801726
1e-09,1e-07,40,0.9,0.011295986880782202
3e-07,3e-10,40,0.9,0.011187691450849345
3e-06,1e-07,40,0.9,0.018217225161669605
3e-07,1e-10,40,0.99,0.010867253009065875
3e-07,3e-07,40,0.9,0.013032388068937776
1e-06,3e-06,40,0.9,0.018116665119589093
3e-10,1e-08,40,0.9,0.01332439896036387
3e-06,1e-07,40,0.95,0.019638215910145734
1e-10,3e-09,40,0.95,0.01178602370122838
3e-07,3e-09,40,0.9,0.012964316655837124
3e-07,3e-07,40,0.95,0.01385949441504997
1e-08,1e-06,40,0.9,0.013359981744484668
1e-09,1e-09,40,0.95,0.010980576441102757
1e-07,3e-07,40,0.9,0.015588740369442123
1e-06,1e-06,40,0.95,0.01673609177264148
3e-09,3e-09,40,0.9,0.011655489031220026
1e-07,3e-10,40,0.95,0.012892957702899221
1e-07,1e-10,40,0.95,0.011863570964448159
1e-06,1e-09,40,0.95,0.016881323679569293
3e-09,3e-10,40,0.9,0.010138966242767411
1e-08,3e-10,40,0.95,0.009884085213032582
1e-08,3e-10,40,0.9,0.012437536743092297
3e-08,1e-07,40,0.9,0.012691837618738204
1e-08,3e-09,40,0.95,0.012081902286580648
3e-06,1e-06,40,0.95,0.021791747888239114
3e-06,1e-06,40,0.9,0.019741289953278257
1e-09,1e-08,40,0.9,0.00944858287694545
1e-09,1e-08,40,0.95,0.010950408428478603
3e-10,3e-10,40,0.99,0.010911924873913176
3e-09,1e-07,40,0.9,0.012348386398094
1e-07,1e-07,40,0.95,0.013660694947244654
1e-06,1e-07,40,0.9,0.018680961663417803
1e-06,1e-07,40,0.99,0.01678521148550388
1e-07,1e-09,40,0.9,0.011995072557938056
3e-08,3e-07,40,0.9,0.01056189857359448
3e-10,1e-06,40,0.9,0.013465569788669203
3e-07,1e-09,40,0.99,0.013398271914353785
3e-06,3e-09,40,0.95,0.01933382839815588
3e-09,1e-08,40,0.9,0.011516832203966708
1e-10,1e-09,40,0.9,0.010458050991676723
3e-09,1e-08,40,0.99,0.010031057582227172
3e-09,1e-08,40,0.95,0.009284012500386768
3e-07,1e-07,40,0.95,0.011775580927627712
1e-09,3e-09,40,0.99,0.01087344131934775
