type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD,0.06358091137423753,0.06358091137423753,0.026323486399532026,886,13049,,13049
1,3,HybridSVD,0.1347685683530678,0.09419925846190647,0.037632836111923564,1878,39927,,12057
1,10,HybridSVD,0.25798349479727306,0.11470364105455602,0.062006434630008773,3595,135755,,10340
1,20,HybridSVD,0.357086472909939,0.12156709030152296,0.07955542556303012,4976,273724,,8959
1,30,HybridSVD,0.4192321492644421,0.12405709394271902,0.09398459588573657,5842,412208,,8093
2,1,HybridSVD,0.06294358018495949,0.06294358018495949,0.02749341912840012,878,13071,,13071
2,3,HybridSVD,0.13104882070399312,0.09198986785193682,0.040167690357804424,1828,40019,,12121
2,10,HybridSVD,0.2506989748369059,0.11170351860007033,0.06298137857073219,3497,135993,,10452
2,20,HybridSVD,0.3492006595454871,0.11845669606938711,0.08004289753339183,4871,274109,,9078
2,30,HybridSVD,0.4120725500035845,0.12097769736770399,0.09486204543238763,5748,412722,,8201
3,1,HybridSVD,0.06428468933849907,0.06428468933849907,0.02700331448625463,896,13042,,13042
3,3,HybridSVD,0.13179796240493616,0.09303104223465825,0.04045622928446091,1837,39977,,12101
3,10,HybridSVD,0.25599081647295163,0.11371370832735447,0.0607330863716124,3568,135812,,10370
3,20,HybridSVD,0.3613861386138614,0.12098183646335357,0.07935270033144863,5037,273723,,8901
3,30,HybridSVD,0.42559908164729515,0.12354958429146304,0.0943653733671281,5932,412208,,8006
4,1,HybridSVD,0.06403728935102188,0.06403728935102188,0.027298430340255437,893,13052,,13052
4,3,HybridSVD,0.13416995338831122,0.094167563045297,0.040167690357804424,1871,39964,,12074
4,10,HybridSVD,0.26167084976694155,0.11535741319355516,0.06259140099444283,3649,135801,,10296
4,20,HybridSVD,0.36005736823234136,0.12215300953440725,0.07936043677488544,5021,273879,,8924
4,30,HybridSVD,0.4245966296163499,0.1247565253555552,0.09437457346202593,5921,412429,,8024
5,1,HybridSVD,0.06023664395840803,0.060236643958408026,0.027100799376096704,840,13105,,13105
5,3,HybridSVD,0.12283972750089638,0.0870204374327716,0.038896471046987714,1713,40122,,12232
5,10,HybridSVD,0.24912154894227323,0.1080356218022048,0.06287775394813803,3474,135976,,10471
5,20,HybridSVD,0.34851201147364647,0.11489742780210806,0.0816923376876584,4860,274040,,9085
5,30,HybridSVD,0.4132664037289351,0.11750817562668049,0.098167284070969,5763,412587,,8182
