type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE(cs),0.0043859649122807015,0.0043859649122807015,0.0013467627548461969,9,2043,,2043
1,3,LCE(cs),0.011695906432748537,0.007472384665367121,0.002865452669885525,24,6132,,2028
1,10,LCE(cs),0.02631578947368421,0.009801703332405086,0.006776795564279267,54,20466,,1998
1,20,LCE(cs),0.036062378167641324,0.010480762973158824,0.011361519836096108,74,40966,,1978
1,30,LCE(cs),0.04483430799220273,0.010821836147106495,0.015631044314225538,92,61468,,1960
2,1,LCE(cs),0.0019502681618722574,0.0019502681618722574,0.0015903262317864665,4,2047,,2047
2,3,LCE(cs),0.007313505607020965,0.004063058670567203,0.003180652463572933,15,6138,,2036
2,10,LCE(cs),0.019502681618722574,0.0061743013473876465,0.007392867888304655,40,20470,,2011
2,20,LCE(cs),0.03315455875182838,0.007116896157958963,0.012708282590942303,68,40952,,1983
2,30,LCE(cs),0.04339346660165773,0.007517969657319983,0.01689184348897517,89,61441,,1962
3,1,LCE(cs),0.00341130604288499,0.00341130604288499,0.0015616717050876113,7,2045,,2045
3,3,LCE(cs),0.01023391812865497,0.006172839506172839,0.0032809433070189265,21,6135,,2031
3,10,LCE(cs),0.021442495126705652,0.00839192889631486,0.007865667578835767,44,20476,,2008
3,20,LCE(cs),0.0297270955165692,0.00895028929112946,0.012894537014484864,61,40979,,1991
3,30,LCE(cs),0.03898635477582846,0.009305588265813916,0.017149734229264867,80,61480,,1972
4,1,LCE(cs),0.0029254022428083864,0.002925402242808386,0.0011748355946530652,6,2045,,2045
4,3,LCE(cs),0.007313505607020965,0.0048756704046806435,0.002865452669885525,15,6138,,2036
4,10,LCE(cs),0.022915650901999023,0.007435010409169357,0.006762468300929839,47,20463,,2004
4,20,LCE(cs),0.030716723549488054,0.007978306539115809,0.011232574465951259,63,40957,,1988
4,30,LCE(cs),0.040468064358849344,0.008372152881174051,0.015258535467140422,83,61447,,1968
5,1,LCE(cs),0.004873294346978557,0.004873294346978557,0.0014183990715933349,10,2042,,2042
5,3,LCE(cs),0.014132553606237816,0.008934372969460688,0.0030373798300786566,29,6127,,2023
5,10,LCE(cs),0.025828460038986353,0.010762245118970264,0.007922976632233477,53,20467,,1999
5,20,LCE(cs),0.036062378167641324,0.011471156603086336,0.013052136911328567,74,40966,,1978
5,30,LCE(cs),0.04337231968810916,0.011751458317733013,0.017335988652807426,89,61471,,1963
