type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE,0.06838894869034805,0.06838894869034805,0.03958272399337038,953,12982,,12982
1,3,LCE,0.1395048439181916,0.09882789140055018,0.05430437749829385,1944,39861,,11991
1,10,LCE,0.2703982777179763,0.1209214550549319,0.07789802086380034,3768,135582,,10167
1,20,LCE,0.37194115536419087,0.12791900242894522,0.09905430437749829,5183,273517,,8752
1,30,LCE,0.4370290635091496,0.13052926046810936,0.1150433850053622,6090,411960,,7845
2,1,LCE,0.06222668291633809,0.062226682916338094,0.04085015111631081,868,13081,,13081
2,3,LCE,0.134561617320238,0.09317274834516213,0.05635175977381301,1877,39970,,12072
2,10,LCE,0.2632446770377805,0.11438397472880232,0.07789802086380034,3672,135818,,10277
2,20,LCE,0.3662628145386766,0.12143527066363785,0.09934678755971532,5109,273871,,8840
2,30,LCE,0.43135708652950033,0.12404477728439481,0.11426342985278347,6017,412453,,7932
3,1,LCE,0.06507389869421724,0.06507389869421724,0.04045622928446091,907,13031,,13031
3,3,LCE,0.1366049648443105,0.0953269239967475,0.05566387209982453,1904,39910,,12034
3,10,LCE,0.2721337351126417,0.11800168888524462,0.07740300253460713,3793,135587,,10145
3,20,LCE,0.3765246089826374,0.1251742182741451,0.09894716318970559,5248,273512,,8690
3,30,LCE,0.44554455445544555,0.12793200613189698,0.1153246246831741,6210,411930,,7728
4,1,LCE,0.0702760846181427,0.0702760846181427,0.041532611874817195,980,12965,,12965
4,3,LCE,0.14126927214055218,0.10074100633440898,0.0553768158330896,1970,39865,,11975
4,10,LCE,0.27106489781283616,0.12266500480914247,0.0787754704104514,3780,135670,,10165
4,20,LCE,0.37569021154535676,0.1298768739437743,0.09827434922491957,5239,273661,,8706
4,30,LCE,0.44266762280387234,0.13255264274842812,0.11348347470020474,6173,412177,,7772
5,1,LCE,0.06281821441376838,0.06281821441376838,0.04045622928446091,876,13069,,13069
5,3,LCE,0.13359627106489783,0.09334289470539023,0.056248781438876974,1863,39972,,12082
5,10,LCE,0.2659734671925421,0.11523089575258812,0.07837785143302788,3709,135741,,10236
5,20,LCE,0.37282179992828973,0.12259745980420525,0.0993371027490739,5199,273701,,8746
5,30,LCE,0.4373610613122983,0.12520838947213223,0.11512965490348996,6099,412251,,7846
