features_weight,rank,HybridSVDs(cs)
0.1,1000,0.010027963427086235
0.1,750,0.010729176335901482
0.1,500,0.011445473251028808
0.1,400,0.012297139453572201
0.1,350,0.012799359509885824
0.1,300,0.012929507410501563
0.1,250,0.01282159874996132
0.1,200,0.012723359324236518
0.1,150,0.01238164856585909
0.1,125,0.012379714718896005
0.1,100,0.014088461895479437
0.1,75,0.015046489680992606
0.1,60,0.014855812370432254
0.1,50,0.014238915189207587
0.1,30,0.012695705312664377
0.1,20,0.010958917355116185
0.1,15,0.010123688851759027
0.1,10,0.0107719143537857
0.1,5,0.012283602524830595
0.1,1,0.008701344410408738
0.3,1000,0.010383597883597884
0.3,750,0.011151141743247007
0.3,500,0.011953494848231692
0.3,400,0.012167184937652772
0.3,350,0.01321223583650484
0.3,300,0.013022525449426035
0.3,250,0.013511015192301742
0.3,200,0.013115350103654194
0.3,150,0.013627432779479563
0.3,125,0.013882507193910704
0.3,100,0.013910741359571769
0.3,75,0.014745969862928927
0.3,60,0.01524664284167208
0.3,50,0.016497648442092887
0.3,30,0.013015563600358921
0.3,20,0.011565371762740183
0.3,15,0.011013838608867848
0.3,10,0.012648132677372444
0.3,5,0.012008222717287045
0.3,1,0.008701344410408738
0.5,1000,0.010594387202574336
0.5,750,0.011542552368575761
0.5,500,0.012315124230328907
0.5,400,0.012274126674711469
0.5,350,0.013314342956155823
0.5,300,0.01334663820043937
0.5,250,0.013476012562269872
0.5,200,0.014205072867353567
0.5,150,0.01390184566354157
0.5,125,0.014230406262570005
0.5,100,0.014437134502923976
0.5,75,0.01518398620006807
0.5,60,0.01575698505523067
0.5,50,0.016025403013707105
0.5,30,0.014989247810885238
0.5,20,0.012121739534020234
0.5,15,0.012384162566911104
0.5,10,0.012831267984776757
0.5,5,0.01196683839227699
0.5,1,0.008701344410408738
0.7,1000,0.010513745784213619
0.7,750,0.01166322441907237
0.7,500,0.012349740090968161
0.7,400,0.013230413997957857
0.7,350,0.01343675546891921
0.7,300,0.01374152975030168
0.7,250,0.014084980970945881
0.7,200,0.014010527862867043
0.7,150,0.014333673690398837
0.7,125,0.014459373742999476
0.7,100,0.014658753364893716
0.7,75,0.015344108728611652
0.7,60,0.015406765370215663
0.7,50,0.016668793898326064
0.7,30,0.014175098239425725
0.7,20,0.013595524304588632
0.7,15,0.01265451437235063
0.7,10,0.013809987932794948
0.7,5,0.01183282279773508
0.7,1,0.008701344410408738
0.9,1000,0.010599028435285747
0.9,750,0.011784283238961602
0.9,500,0.013254780469692749
0.9,400,0.014041276029580121
0.9,350,0.014125785141867013
0.9,300,0.013985581237043224
0.9,250,0.014338508307806553
0.9,200,0.0141410625328754
0.9,150,0.01453537392864878
0.9,125,0.01454291593180482
0.9,100,0.014827578204771187
0.9,75,0.015164067576348278
0.9,60,0.016114746743401714
0.9,50,0.017122474395866207
0.9,30,0.014019230174200934
0.9,20,0.0137063337355735
0.9,15,0.012721812246666046
0.9,10,0.013625305547820167
0.9,5,0.011827408026238436
0.9,1,0.008701344410408738
