features_weight,rank,HybridSVDs
0.1,1000,0.13518270769616303
0.1,750,0.1334490633952421
0.1,500,0.12920016972223647
0.1,400,0.12748195989315472
0.1,350,0.12572507845381906
0.1,300,0.12384625899157656
0.1,250,0.12049467197475809
0.1,200,0.11618762850194497
0.1,150,0.11148928414805703
0.1,125,0.1094048615738605
0.1,100,0.10726878192970765
0.1,75,0.1035018880174962
0.1,60,0.10165829446238489
0.1,50,0.09960824348876017
0.1,30,0.09146581919455979
0.1,20,0.07914085237013116
0.1,15,0.07622282593219085
0.1,10,0.07156751015200963
0.1,5,0.04373827464247271
0.1,1,0.01607460374414088
0.3,1000,0.13488819974826433
0.3,750,0.13283068783068785
0.3,500,0.1295324095431738
0.3,400,0.12720761358005706
0.3,350,0.12566903594352463
0.3,300,0.12453969962581374
0.3,250,0.12027058736423646
0.3,200,0.11632676656358033
0.3,150,0.11131363871945144
0.3,125,0.1099530416161202
0.3,100,0.1079555304958965
0.3,75,0.10472030003246366
0.3,60,0.10258900450504325
0.3,50,0.10026853702849398
0.3,30,0.08518384677157552
0.3,20,0.07968692512287776
0.3,15,0.07620759079854882
0.3,10,0.07276997511120224
0.3,5,0.02794288675881787
0.3,1,0.01630452611615152
0.5,1000,0.13382364834463867
0.5,750,0.13189764268343385
0.5,500,0.12902358455641558
0.5,400,0.1274118498015161
0.5,350,0.12551486208644447
0.5,300,0.1240904482831286
0.5,250,0.12043518376134092
0.5,200,0.11615348471645565
0.5,150,0.11138138522960914
0.5,125,0.10983383737420337
0.5,100,0.10785073555794762
0.5,75,0.10450444524179724
0.5,60,0.1027210518222359
0.5,50,0.10098455983278373
0.5,30,0.08413020201502441
0.5,20,0.07955675728011574
0.5,15,0.07434924621684579
0.5,10,0.06973732920988035
0.5,5,0.026662024934360783
0.5,1,0.01630452611615152
0.7,1000,0.13201248996189796
0.7,750,0.1314740774913003
0.7,500,0.12826829212728028
0.7,400,0.1268042954533805
0.7,350,0.12460536732334365
0.7,300,0.1229873106999049
0.7,250,0.12029442251724277
0.7,200,0.11592003121066631
0.7,150,0.11119907620984047
0.7,125,0.11015574008577239
0.7,100,0.10769012592478686
0.7,75,0.10544486590234706
0.7,60,0.10274309293146754
0.7,50,0.1008740125640018
0.7,30,0.0840981655190482
0.7,20,0.07925447514252681
0.7,15,0.07374733029200199
0.7,10,0.06633664804278368
0.7,5,0.02610043227911904
0.7,1,0.01626582602901225
0.9,1000,0.13074207915435043
0.9,750,0.13061905900980175
0.9,500,0.12758948861209357
0.9,400,0.12623330542598574
0.9,350,0.12376692238909678
0.9,300,0.12246988569378237
0.9,250,0.12063979018230901
0.9,200,0.11562270405112171
0.9,150,0.1117657947044384
0.9,125,0.11035524914426961
0.9,100,0.10783624082332371
0.9,75,0.10519916733587348
0.9,60,0.10295968812115207
0.9,50,0.10035009482802809
0.9,30,0.08311582688331881
0.9,20,0.07982378503368816
0.9,15,0.07447351934434819
0.9,10,0.06330189485194868
0.9,5,0.02595235247549564
0.9,1,0.01626582602901225
