col_scaling,rank,PureSVDs
0.2,1000,0.13510647507418228
0.2,750,0.13338544603345465
0.2,500,0.1294380371452492
0.2,400,0.1270538099224859
0.2,350,0.1253110530182651
0.2,300,0.12355129541351285
0.2,250,0.12071311816198792
0.2,200,0.11602904072764138
0.2,150,0.11129458768317757
0.2,125,0.1086906043364601
0.2,100,0.10608508323793576
0.2,75,0.10262146815429915
0.2,60,0.10064463125281209
0.2,50,0.0991757080777533
0.2,30,0.0925585342377592
0.2,20,0.07961228720647451
0.2,15,0.07563332592934316
0.2,10,0.06994256212232532
0.2,5,0.059468849135157
0.2,1,0.02051224221299571
0.4,1000,0.08389048359446638
0.4,750,0.10406880585029132
0.4,500,0.12415224312425605
0.4,400,0.12934631309765865
0.4,350,0.13331470945033919
0.4,300,0.13296922787773166
0.4,250,0.13290458534807298
0.4,200,0.13123928557190132
0.4,150,0.12788576212688163
0.4,125,0.1265510505122992
0.4,100,0.12432037065513923
0.4,75,0.12029368211822464
0.4,60,0.11561911596357238
0.4,50,0.11220026654364654
0.4,30,0.10703048735341525
0.4,20,0.09900849180720012
0.4,15,0.09390315580843031
0.4,10,0.07573820629794795
0.4,5,0.0646844476338556
0.4,1,0.02557264168674287
0.6,1000,0.03480069027969997
0.6,750,0.042290424362544925
0.6,500,0.06062637756932698
0.6,400,0.07088232781451297
0.6,350,0.07773195846931046
0.6,300,0.08560194440172912
0.6,250,0.09319744163662355
0.6,200,0.10327250670630649
0.6,150,0.11518131232878273
0.6,125,0.11993122832197106
0.6,100,0.12497647809273214
0.6,75,0.1270883239074843
0.6,60,0.12331599091017821
0.6,50,0.12291375490514352
0.6,30,0.1137373064283721
0.6,20,0.10465770783854747
0.6,15,0.0970867007250215
0.6,10,0.09098344923425655
0.6,5,0.06683442399804079
0.6,1,0.034728131175924506
