type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,SGD,0.06673842841765339,0.0667384284176534,0.05518182704494492,930,13005,,13005
1,3,SGD,0.1371367061356297,0.09651955507714388,0.08891488739397485,1911,39894,,12024
1,10,SGD,0.26982418371008254,0.1184780528644899,0.14731402944330702,3760,135590,,10175
1,20,SGD,0.37430929314675276,0.12564245954736245,0.20015599103051573,5216,273484,,8719
1,30,SGD,0.44642985288841047,0.1285270798237228,0.23535146729063078,6221,411829,,7714
2,1,SGD,0.0640189260878916,0.0640189260878916,0.054596860680510874,893,13056,,13056
2,3,SGD,0.13535020431572156,0.09429588739933567,0.0883299210295408,1888,39959,,12061
2,10,SGD,0.26281453867660765,0.11561359578600958,0.1453641415618602,3666,135824,,10283
2,20,SGD,0.36776829880278156,0.12280133041069552,0.195086282538754,5130,273850,,8819
2,30,SGD,0.44103519965588933,0.12574470832723011,0.2280393877352052,6152,412318,,7797
3,1,SGD,0.06442818194862965,0.06442818194862965,0.057126145447455645,898,13040,,13040
3,3,SGD,0.131510977184675,0.09321040799732147,0.08724897640865666,1833,39981,,12105
3,10,SGD,0.27055531640120534,0.11627126480764019,0.1417430298303763,3771,135609,,10167
3,20,SGD,0.38233605969292583,0.1239746178335617,0.1913628387599922,5329,273431,,8609
3,30,SGD,0.45415411106328024,0.12687930385892482,0.22314291284850848,6330,411810,,7608
4,1,SGD,0.06561491574040874,0.06561491574040876,0.05644925416788535,915,13030,,13030
4,3,SGD,0.13775546790964505,0.09656985777459065,0.08959734815248123,1921,39914,,12024
4,10,SGD,0.27529580494801004,0.11961965089609405,0.15121380520620065,3839,135611,,10106
4,20,SGD,0.3830046611688777,0.12709181199772554,0.19820610314906892,5341,273559,,8604
4,30,SGD,0.4561491574040875,0.1300375075389143,0.2298917812225797,6361,411989,,7584
5,1,SGD,0.06045177482968806,0.060451774829688054,0.05605381165919283,843,13102,,13102
5,3,SGD,0.12893510218716386,0.0893749253017808,0.08724897640865666,1798,40037,,12147
5,10,SGD,0.2641807099318752,0.11168265919969038,0.14564242542405928,3684,135766,,10261
5,20,SGD,0.37475797776980996,0.1192076742977673,0.19955156950672645,5226,273674,,8719
5,30,SGD,0.4466833990677662,0.12209619899264088,0.23562097874829402,6229,412121,,7716
