regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
3e-08,3e-06,40,0.99,105.787347
1e-08,1e-10,40,0.95,103.918573
1e-10,1e-08,40,0.9,106.948222
3e-10,3e-06,40,0.99,106.560299
1e-08,1e-10,40,0.99,107.102407
1e-06,3e-09,40,0.95,104.427682
1e-06,3e-09,40,0.99,106.4405
1e-06,1e-08,40,0.9,105.744113
3e-10,3e-09,40,0.9,106.095711
1e-10,3e-08,40,0.95,103.455478
3e-08,1e-08,40,0.95,106.504186
1e-07,1e-06,40,0.99,102.544624
3e-06,3e-08,40,0.9,111.415232
3e-06,3e-08,40,0.95,103.993942
1e-08,1e-09,40,0.9,108.885755
1e-08,1e-09,40,0.99,104.904161
3e-09,3e-07,40,0.9,108.125568
1e-08,1e-09,40,0.95,108.973185
3e-08,1e-06,40,0.9,105.882744
3e-09,1e-10,40,0.99,105.957645
3e-09,3e-06,40,0.9,102.146977
3e-09,3e-06,40,0.95,108.81957
3e-06,1e-07,40,0.99,113.053827
1e-10,1e-10,40,0.99,107.466725
3e-07,3e-09,40,0.99,108.045559
3e-08,1e-09,40,0.9,109.632551
3e-09,3e-08,40,0.95,110.528447
1e-08,1e-06,40,0.95,107.850429
3e-06,1e-10,40,0.9,106.026303
1e-09,1e-09,40,0.99,111.445998
1e-09,1e-09,40,0.9,110.465664
1e-07,3e-09,40,0.99,109.513831
3e-06,3e-07,40,0.99,121.027515
1e-06,3e-10,40,0.9,106.970787
1e-07,1e-10,40,0.95,107.064231
1e-07,3e-10,40,0.99,104.471945
1e-06,1e-09,40,0.9,96.036948
1e-08,3e-10,40,0.95,102.093808
3e-08,1e-07,40,0.9,106.066237
3e-10,3e-07,40,0.99,108.402724
3e-06,1e-06,40,0.95,110.729296
3e-07,1e-06,40,0.99,125.148086
1e-07,3e-08,40,0.99,111.725774
1e-07,3e-08,40,0.95,99.050871
1e-09,3e-08,40,0.99,118.523802
3e-08,3e-10,40,0.99,109.065455
1e-09,3e-06,40,0.99,109.650449
3e-08,3e-09,40,0.9,106.949059
1e-06,1e-10,40,0.95,108.138338
1e-06,1e-07,40,0.95,106.021505
1e-06,1e-07,40,0.99,96.337269
1e-06,3e-07,40,0.99,106.085663
1e-10,1e-09,40,0.95,110.169092
3e-06,3e-09,40,0.99,107.320741
3e-07,1e-09,40,0.99,106.614521
1e-10,1e-09,40,0.99,108.042887
3e-09,1e-08,40,0.9,108.945818
3e-06,3e-07,40,0.95,107.089574
3e-07,1e-07,40,0.95,103.552899
1e-09,3e-09,40,0.95,105.490341
