regularization,linear_regularization,rank,adagrad_momentum_weighting,SGD
3e-08,3e-06,40,0.99,0.09786856208815306
1e-08,1e-10,40,0.95,0.09216509759028597
1e-10,1e-08,40,0.9,0.08951669030248148
3e-10,3e-06,40,0.99,0.09492160313473554
1e-08,1e-10,40,0.99,0.09383347287007136
1e-06,3e-09,40,0.95,0.10539389227763825
1e-06,3e-09,40,0.99,0.10698401307658573
1e-06,1e-08,40,0.9,0.1055832066111937
3e-10,3e-09,40,0.9,0.0856810816660117
1e-10,3e-08,40,0.95,0.08930516399838251
3e-08,1e-08,40,0.95,0.10021915810936265
1e-07,1e-06,40,0.99,0.10283649711529153
3e-06,3e-08,40,0.9,0.07594064847563234
3e-06,3e-08,40,0.95,0.0763771136968123
1e-08,1e-09,40,0.9,0.09069643070719496
1e-08,1e-09,40,0.99,0.09188665060570336
3e-09,3e-07,40,0.9,0.09798261201382838
1e-08,1e-09,40,0.95,0.09072374004020937
3e-08,1e-06,40,0.9,0.09997015622419282
3e-09,1e-10,40,0.99,0.09199896344137465
3e-09,3e-06,40,0.9,0.09406299656568765
3e-09,3e-06,40,0.95,0.09533036034650674
3e-06,1e-07,40,0.99,0.07676770265575433
1e-10,1e-10,40,0.99,0.09383691857319415
3e-07,3e-09,40,0.99,0.10659054795222718
3e-08,1e-09,40,0.9,0.09992949123196701
3e-09,3e-08,40,0.95,0.08952546118315763
1e-08,1e-06,40,0.95,0.09872973157687905
3e-06,1e-10,40,0.9,0.0765733194366133
1e-09,1e-09,40,0.99,0.09141393430952097
1e-09,1e-09,40,0.9,0.0885014323873312
1e-07,3e-09,40,0.99,0.10261628536117234
3e-06,3e-07,40,0.99,0.07757818328862463
1e-06,3e-10,40,0.9,0.10610322301387964
1e-07,1e-10,40,0.95,0.1027547115006749
1e-07,3e-10,40,0.99,0.10175802051474818
1e-06,1e-09,40,0.9,0.10550905280184075
1e-08,3e-10,40,0.95,0.09040739032127623
3e-08,1e-07,40,0.9,0.09782655868231756
3e-10,3e-07,40,0.99,0.09360033261002046
3e-06,1e-06,40,0.95,0.07788684424852348
3e-07,1e-06,40,0.99,0.10738744511080357
1e-07,3e-08,40,0.99,0.10197134086262181
1e-07,3e-08,40,0.95,0.10201192042419169
1e-09,3e-08,40,0.99,0.09134746925920231
3e-08,3e-10,40,0.99,0.09921930618916626
1e-09,3e-06,40,0.99,0.09501560533315109
3e-08,3e-09,40,0.9,0.09751131956191161
1e-06,1e-10,40,0.95,0.10693178646892318
1e-06,1e-07,40,0.95,0.10670266144970128
1e-06,1e-07,40,0.99,0.10802199554621515
1e-06,3e-07,40,0.99,0.10787457071095394
1e-10,1e-09,40,0.95,0.09128487706528611
3e-06,3e-09,40,0.99,0.07745772606375406
3e-07,1e-09,40,0.99,0.10554627209094378
1e-10,1e-09,40,0.99,0.09279455066322667
3e-09,1e-08,40,0.9,0.08999444700736414
3e-06,3e-07,40,0.95,0.07681520210045506
3e-07,1e-07,40,0.95,0.10553283100107644
1e-09,3e-09,40,0.95,0.091751983415062
