rank,PureSVD(cs)
1,0.01771002435064935
5,0.018260168650793652
10,0.017105767496392497
15,0.022055938852813855
20,0.024401379870129872
30,0.023684952200577203
50,0.025133590367965367
60,0.022491657647907646
75,0.0223208648989899
100,0.02717521194083694
125,0.024975762085137087
150,0.026602520743145744
200,0.024369814213564215
250,0.021280325577200578
300,0.02115180826118326
350,0.018705469877344876
400,0.018323299963924965
500,0.016711760461760462
750,0.013547303391053391
1000,0.012456033549783549
