type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM(cs),0.017045454545454544,0.017045454545454548,0.01573368665120901,12,692,,692
1,3,FM(cs),0.032670454545454544,0.02414772727272727,0.03792646571712487,23,2089,,681
1,10,FM(cs),0.061079545454545456,0.028830154220779218,0.10317986088108645,43,6997,,661
1,20,FM(cs),0.09375,0.031010672644173384,0.17157999337528984,66,14014,,638
1,30,FM(cs),0.11221590909090909,0.03171358307936967,0.22805564756541902,79,21041,,625
2,1,FM(cs),0.0070921985815602835,0.007092198581560284,0.01391189135475323,5,700,,700
2,3,FM(cs),0.01276595744680851,0.009456264775413711,0.04140443855581318,9,2106,,696
2,10,FM(cs),0.02695035460992908,0.011894630192502533,0.10798277575356079,19,7031,,686
2,20,FM(cs),0.04539007092198582,0.01306081538098533,0.18367008943358729,32,14068,,673
2,30,FM(cs),0.05531914893617021,0.013436337705639474,0.242464392182842,39,21111,,666
3,1,FM(cs),0.002840909090909091,0.002840909090909091,0.016064922159655513,2,702,,702
3,3,FM(cs),0.007102272727272727,0.004498106060606061,0.04123882080158993,5,2107,,699
3,10,FM(cs),0.026988636363636364,0.008311350108225108,0.10682345147399801,19,7021,,685
3,20,FM(cs),0.03977272727272727,0.009270254079328277,0.18068896985756874,28,14052,,676
3,30,FM(cs),0.046875,0.009544925060520997,0.23782709506459093,33,21087,,671
4,1,FM(cs),0.0070921985815602835,0.007092198581560284,0.014243126863199736,5,700,,700
4,3,FM(cs),0.014184397163120567,0.009929078014184398,0.042563762835375954,10,2105,,695
4,10,FM(cs),0.02553191489361702,0.012283012495778452,0.10632659821132825,18,7032,,687
4,20,FM(cs),0.04113475177304964,0.013290737299695866,0.1825107651540245,29,14071,,676
4,30,FM(cs),0.05106382978723404,0.013692487870128053,0.23666777078502815,36,21114,,669
5,1,FM(cs),0.005681818181818182,0.005681818181818182,0.015568068896985757,4,700,,700
5,3,FM(cs),0.018465909090909092,0.011363636363636366,0.038588936734017885,13,2099,,691
5,10,FM(cs),0.045454545454545456,0.016048318001443004,0.10483603842331898,32,7008,,672
5,20,FM(cs),0.06534090909090909,0.017303332941031275,0.1752235839682014,46,14034,,658
5,30,FM(cs),0.09517045454545454,0.01852827164438631,0.23037429612454455,67,21053,,637
