type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,FM,0.043874172185430466,0.043874172185430466,0.10079500283929585,53,1155,,1155
1,3,FM,0.08857615894039735,0.06277593818984548,0.1839863713798978,107,3517,,1101
1,10,FM,0.1978476821192053,0.08118298643960896,0.3128904031800114,239,11841,,969
1,20,FM,0.28228476821192056,0.08698346576104249,0.4040318001135718,341,23819,,867
1,30,FM,0.3443708609271523,0.08952953066911555,0.46394094264622376,416,35824,,792
2,1,FM,0.05136702568351284,0.05136702568351284,0.10278250993753549,62,1145,,1145
2,3,FM,0.10190555095277548,0.07276995305164319,0.18767745599091426,123,3498,,1084
2,10,FM,0.19635459817729908,0.08844800831130574,0.3185689948892675,237,11833,,970
2,20,FM,0.2899751449875725,0.09477350613569675,0.40658716638273706,350,23790,,857
2,30,FM,0.35625517812758906,0.09746050705800421,0.46507666098807493,430,35780,,777
3,1,FM,0.043874172185430466,0.043874172185430466,0.09909142532651902,53,1155,,1155
3,3,FM,0.09105960264900662,0.06387969094922737,0.17717206132879046,110,3514,,1098
3,10,FM,0.19370860927152317,0.08054340113528856,0.2972742759795571,234,11846,,974
3,20,FM,0.2847682119205298,0.08694462350987221,0.38727995457126635,344,23816,,864
3,30,FM,0.34602649006622516,0.08941158867788339,0.444633730834753,418,35822,,790
4,1,FM,0.050538525269262634,0.050538525269262634,0.11044860874503123,61,1146,,1146
4,3,FM,0.08864954432477216,0.06724661695664182,0.19278818852924476,107,3514,,1100
4,10,FM,0.18309859154929578,0.08316993464052287,0.3233957978421351,221,11849,,986
4,20,FM,0.27009113504556753,0.08916420983814874,0.4193639977285633,326,23814,,881
4,30,FM,0.33222866611433305,0.09164042552340615,0.47728563316297556,401,35809,,806
5,1,FM,0.0439469320066335,0.0439469320066335,0.1011076398750355,53,1153,,1153
5,3,FM,0.0912106135986733,0.06426202321724711,0.18034649247372905,110,3508,,1096
5,10,FM,0.1799336650082919,0.07945063044565534,0.30389094007384265,217,11843,,989
5,20,FM,0.26533996683250416,0.08525994339506116,0.3905140585061062,320,23800,,886
5,30,FM,0.32587064676616917,0.08765358640113426,0.4495881851746663,393,35787,,813
