regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
3e-08,3e-06,40,0.99,0.0772541522127615
1e-08,3e-07,40,0.9,0.08448176179964259
3e-08,3e-08,40,0.99,0.0898871938400084
3e-08,3e-08,40,0.9,0.08101381004940608
3e-09,1e-09,40,0.99,0.0809077052454536
3e-10,3e-06,40,0.9,0.08600861978345423
3e-09,1e-09,40,0.95,0.08135577630610744
3e-10,3e-09,40,0.95,0.08369336697151267
1e-08,3e-07,40,0.95,0.08133967991169977
3e-08,1e-08,40,0.99,0.08115933459476506
1e-06,1e-08,40,0.95,0.08121977819825502
3e-06,3e-08,40,0.95,0.09284728792179123
3e-09,3e-07,40,0.9,0.07183229528014297
1e-08,3e-06,40,0.99,0.08379585829916955
1e-10,3e-10,40,0.9,0.08263691790181857
3e-06,1e-07,40,0.99,0.08514368495742669
1e-08,1e-08,40,0.95,0.08282087669504888
1e-06,3e-06,40,0.9,0.08951237779880164
3e-07,3e-09,40,0.9,0.08740966309261011
1e-08,1e-06,40,0.95,0.07999448123620309
3e-06,1e-10,40,0.9,0.08557368863660254
1e-07,1e-10,40,0.9,0.08534012666876906
1e-07,1e-10,40,0.99,0.08722603279722485
1e-06,1e-06,40,0.9,0.08674642594344582
1e-07,3e-10,40,0.99,0.08424327236413329
1e-06,1e-06,40,0.95,0.08720665142436665
1e-06,1e-09,40,0.99,0.08545904288867864
1e-06,1e-09,40,0.9,0.08013507831388628
3e-07,3e-06,40,0.99,0.07562973036896878
3e-10,3e-07,40,0.9,0.08223910701145801
1e-09,1e-06,40,0.95,0.0803719252601703
3e-10,1e-10,40,0.9,0.08394335383159887
1e-06,3e-08,40,0.99,0.08506747345737412
3e-06,1e-06,40,0.99,0.08477215389467044
1e-10,1e-06,40,0.95,0.0802572795122464
1e-10,1e-06,40,0.99,0.07771733417428782
1e-09,1e-08,40,0.95,0.08688373804267843
1e-09,1e-08,40,0.99,0.08070732155997057
3e-10,3e-10,40,0.99,0.08401003889414485
1e-09,3e-08,40,0.9,0.08332380689582677
3e-08,3e-10,40,0.95,0.09222708399032901
1e-09,3e-08,40,0.99,0.08552539945337959
1e-07,1e-08,40,0.9,0.07930167928098392
1e-07,1e-07,40,0.95,0.07616649584778724
3e-06,3e-06,40,0.9,0.08863036108483129
1e-06,1e-10,40,0.95,0.07969127772521813
1e-06,3e-07,40,0.99,0.08723030326921055
1e-06,1e-10,40,0.99,0.08790372385157154
1e-07,1e-09,40,0.99,0.08546101387574898
3e-08,1e-10,40,0.9,0.08365558971933143
3e-08,1e-10,40,0.99,0.09331506885314832
1e-08,3e-08,40,0.9,0.07884999474403448
3e-08,1e-10,40,0.95,0.08396766267213288
3e-10,1e-06,40,0.99,0.08270918742773048
3e-09,1e-08,40,0.99,0.08118364343529906
1e-10,1e-09,40,0.95,0.08544688846841164
1e-10,1e-09,40,0.99,0.08663145169767687
3e-09,1e-08,40,0.95,0.08282744665194997
3e-06,3e-07,40,0.9,0.09330685640702198
3e-07,1e-07,40,0.95,0.08487891569431305
