type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD(cs),0.014204545454545454,0.014204545454545456,0.002484266313348791,10,694,,694
1,3,HybridSVD(cs),0.03125,0.021780303030303025,0.006459092414706857,22,2090,,682
1,10,HybridSVD(cs),0.06676136363636363,0.027678571428571427,0.016230539913878766,47,6993,,657
1,20,HybridSVD(cs),0.09943181818181818,0.02980206856794424,0.030473666777078502,70,14010,,634
1,30,HybridSVD(cs),0.11931818181818182,0.03058597694883538,0.04041073203047367,84,21036,,620
2,1,HybridSVD(cs),0.015602836879432624,0.015602836879432626,0.0023186485591255384,11,694,,694
2,3,HybridSVD(cs),0.03404255319148936,0.02387706855791962,0.0059622391520370984,24,2091,,681
2,10,HybridSVD(cs),0.06808510638297872,0.029524935269616123,0.017555481947664788,48,7002,,657
2,20,HybridSVD(cs),0.10212765957446808,0.03198755377103312,0.031136137793971515,72,14028,,633
2,30,HybridSVD(cs),0.13191489361702127,0.03315545728492322,0.04123882080158993,93,21057,,612
3,1,HybridSVD(cs),0.014204545454545454,0.014204545454545456,0.0023186485591255384,10,694,,694
3,3,HybridSVD(cs),0.026988636363636364,0.019649621212121212,0.006293474660483604,19,2093,,685
3,10,HybridSVD(cs),0.041193181818181816,0.02211568813131313,0.01689301093077178,29,7011,,675
3,20,HybridSVD(cs),0.06818181818181818,0.023928543295594466,0.03130175554819477,48,14032,,656
3,30,HybridSVD(cs),0.09375,0.024972022833115334,0.0423981450811527,66,21054,,638
4,1,HybridSVD(cs),0.01276595744680851,0.012765957446808512,0.0021530308049022857,9,696,,696
4,3,HybridSVD(cs),0.028368794326241134,0.01914893617021277,0.005299768135144088,20,2095,,685
4,10,HybridSVD(cs),0.06666666666666667,0.024863221884498483,0.015236833388539251,47,7003,,658
4,20,HybridSVD(cs),0.09361702127659574,0.026522541243409435,0.02716131169261345,66,14034,,639
4,30,HybridSVD(cs),0.1049645390070922,0.02698814912714868,0.03577343491222259,74,21076,,631
5,1,HybridSVD(cs),0.014204545454545454,0.014204545454545454,0.002484266313348791,10,694,,694
5,3,HybridSVD(cs),0.03125,0.02225378787878788,0.005631003643590593,22,2090,,682
5,10,HybridSVD(cs),0.0625,0.027686462842712842,0.01573368665120901,44,6996,,660
5,20,HybridSVD(cs),0.08238636363636363,0.028954287567662267,0.02848625372639947,58,14022,,646
5,30,HybridSVD(cs),0.10227272727272728,0.029726503198780126,0.03842331897979463,72,21048,,632
