features_weight,rank,HybridSVD(cs)
0.1,1000,0.011479189213564214
0.1,750,0.011992131132756134
0.1,500,0.015402913059163057
0.1,400,0.014264294733044733
0.1,350,0.015517338564213565
0.1,300,0.01403938943001443
0.1,250,0.018658121392496393
0.1,200,0.019745445526695524
0.1,150,0.0232452876984127
0.1,125,0.01994498556998557
0.1,100,0.022016481782106783
0.1,75,0.021068948412698414
0.1,60,0.02169237012987013
0.1,50,0.021073457792207793
0.1,30,0.022742491883116882
0.1,20,0.02362182088744589
0.1,15,0.021661368145743144
0.1,10,0.01743946158008658
0.1,5,0.018733089826839827
0.1,1,0.02177579365079365
0.3,1000,0.01093524531024531
0.3,750,0.012692775974025976
0.3,500,0.015174625721500721
0.3,400,0.014752435064935066
0.3,350,0.014627863455988455
0.3,300,0.014666756854256856
0.3,250,0.01995569534632035
0.3,200,0.019137806637806638
0.3,150,0.020055465367965368
0.3,125,0.019402169011544013
0.3,100,0.020257260101010102
0.3,75,0.024656159812409817
0.3,60,0.021563852813852813
0.3,50,0.021453373015873016
0.3,30,0.021854707792207793
0.3,20,0.02580886994949495
0.3,15,0.021871054292929296
0.3,10,0.021044146825396827
0.3,5,0.022801113816738817
0.3,1,0.02218614718614719
0.5,1000,0.011590232683982684
0.5,750,0.012370919011544012
0.5,500,0.016028589466089465
0.5,400,0.015870197510822512
0.5,350,0.01746877254689755
0.5,300,0.015473935786435787
0.5,250,0.019439371392496393
0.5,200,0.01902901785714286
0.5,150,0.019076930014430015
0.5,125,0.017595035173160172
0.5,100,0.020730181277056278
0.5,75,0.022976979617604615
0.5,60,0.021008071789321788
0.5,50,0.021232977092352095
0.5,30,0.02316468253968254
0.5,20,0.025934005230880235
0.5,15,0.023177647005772007
0.5,10,0.02279716810966811
0.5,5,0.02566006042568543
0.5,1,0.022205875721500727
0.7,1000,0.011574449855699857
0.7,750,0.012404739357864358
0.7,500,0.01556750541125541
0.7,400,0.016389903499278498
0.7,350,0.017348146645021646
0.7,300,0.016388776154401156
0.7,250,0.02102159992784993
0.7,200,0.019796739718614717
0.7,150,0.019485592532467535
0.7,125,0.01954985119047619
0.7,100,0.020826569264069266
0.7,75,0.022441490800865802
0.7,60,0.02243247204184704
0.7,50,0.021726190476190475
0.7,30,0.025361314033189034
0.7,20,0.027212977994227994
0.7,15,0.025552962662337662
0.7,10,0.02316693722943723
0.7,5,0.027678571428571427
0.7,1,0.022172055375180376
0.9,1000,0.012180397727272727
0.9,750,0.012164051226551228
0.9,500,0.016689213564213563
0.9,400,0.01701670725108225
0.9,350,0.016850987554112556
0.9,300,0.01804259108946609
0.9,250,0.0222267316017316
0.9,200,0.021793267496392495
0.9,150,0.01891853805916306
0.9,125,0.02064675775613276
0.9,100,0.020391977813852817
0.9,75,0.023502322330447332
0.9,60,0.024027101370851373
0.9,50,0.021524959415584417
0.9,30,0.026048430735930737
0.9,20,0.025020855880230876
0.9,15,0.0259734623015873
0.9,10,0.02483540764790765
0.9,5,0.027678007756132755
0.9,1,0.022172055375180376
