features_weight,rank,HybridSVD
0.1,1000,0.017168611373909386
0.1,750,0.02978555660674866
0.1,500,0.04134736676127405
0.1,400,0.04866794123830548
0.1,350,0.05526582045621781
0.1,300,0.05787277935456743
0.1,250,0.06242280300641228
0.1,200,0.07179189004520131
0.1,150,0.0729702118154105
0.1,125,0.07876097182802481
0.1,100,0.08391148954062862
0.1,75,0.09861078261326606
0.1,60,0.09681784137496058
0.1,50,0.09932625091979397
0.1,30,0.10069444444444445
0.1,20,0.09669136970461474
0.1,15,0.09324871228844739
0.1,10,0.0847517870282771
0.1,5,0.06876215442026701
0.1,1,0.04023211657731525
0.3,1000,0.01779078629244192
0.3,750,0.03132029853884158
0.3,500,0.042151200988121515
0.3,400,0.049072979081257226
0.3,350,0.0558689424997372
0.3,300,0.05971630926101125
0.3,250,0.06393980605487229
0.3,200,0.0744156023336487
0.3,150,0.07353358561967833
0.3,125,0.079399243140965
0.3,100,0.08519131714495953
0.3,75,0.09944253915694312
0.3,60,0.09868469462840324
0.3,50,0.10222261641963629
0.3,30,0.10022600651739724
0.3,20,0.09899479659413435
0.3,15,0.08972622989593187
0.3,10,0.08372950173446862
0.3,5,0.06729278355933985
0.3,1,0.04096368127825081
0.5,1000,0.01883245295910859
0.5,750,0.03419695416798066
0.5,500,0.04512082150741091
0.5,400,0.05032094239461789
0.5,350,0.055739185850940814
0.5,300,0.06192020130347945
0.5,250,0.06564963733837906
0.5,200,0.07260656470093556
0.5,150,0.07687802218017449
0.5,125,0.08082032481866919
0.5,100,0.08829824976348155
0.5,75,0.09924905392620625
0.5,60,0.09652153631872175
0.5,50,0.10405661988857354
0.5,30,0.10103115473562493
0.5,20,0.09906772311573636
0.5,15,0.09024328550404709
0.5,10,0.08237543361715546
0.5,5,0.06792875538736466
0.5,1,0.04096368127825081
0.7,1000,0.020588930936613056
0.7,750,0.03429123304951119
0.7,500,0.04817026700304846
0.7,400,0.052556041732366235
0.7,350,0.057448688636602546
0.7,300,0.06270826763376432
0.7,250,0.06729212656364975
0.7,200,0.07406936560496163
0.7,150,0.07760334542205402
0.7,125,0.08319996320824136
0.7,100,0.09198136760222853
0.7,75,0.09757502890781036
0.7,60,0.09549202407232209
0.7,50,0.10369494376116893
0.7,30,0.1000637285819405
0.7,20,0.09771628298118365
0.7,15,0.08760216282981184
0.7,10,0.0781650767370966
0.7,5,0.06775169504888048
0.7,1,0.04096368127825081
0.9,1000,0.020221998843687583
0.9,750,0.03398343056869547
0.9,500,0.04855986544728267
0.9,400,0.05450206296646694
0.9,350,0.05787540733732787
0.9,300,0.06483463418479975
0.9,250,0.066395655944497
0.9,200,0.07616846683485756
0.9,150,0.07728733049511194
0.9,125,0.08549156417533901
0.9,100,0.09456960212341008
0.9,75,0.09526897403553033
0.9,60,0.09965113528855252
0.9,50,0.10475007883948281
0.9,30,0.10309247871333965
0.9,20,0.09600940817828235
0.9,15,0.0843786134762956
0.9,10,0.0771431199411332
0.9,5,0.06517824293072638
0.9,1,0.04096368127825081
