alpha,beta,LCE
0.3,0.1,20.648921166546643
0.7,0.3,12.093995922245085
0.9,0.3,11.260783077217638
0.3,0.0,10.928180155344307
0.1,0.05,20.384186644107103
0.7,0.1,11.441668284125626
0.5,0.1,11.830893359147012
0.1,0.3,10.978129649534822
0.7,0.05,21.15275275427848
0.5,0.0,11.759915438480675
0.5,0.3,11.060311286710203
0.5,0.05,13.760379922576249
0.7,0.0,17.983793146908283
0.9,0.1,11.476971028372645
0.9,0.05,11.311574147082865
0.9,0.0,16.267082819715142
0.3,0.3,13.742845975793898
0.1,0.0,12.133511634543538
0.3,0.05,11.94571731891483
0.1,0.1,20.338297391310334
