alpha,beta,LCE
0.3,0.1,0.08489435509303059
0.7,0.3,0.04728792179123305
0.9,0.3,0.040353989277830335
0.3,0.0,0.08527114212130768
0.1,0.05,0.09182664511720803
0.7,0.1,0.04729153526752864
0.5,0.1,0.07387423788499947
0.1,0.3,0.09314556396510038
0.7,0.05,0.04736051981499001
0.5,0.0,0.0736255650162935
0.5,0.3,0.07382397771470618
0.5,0.05,0.07430818353831599
0.7,0.0,0.04745381320298539
0.9,0.1,0.039792257962787764
0.9,0.05,0.03978076053821087
0.9,0.0,0.03977944654683065
0.3,0.3,0.08411450120887207
0.1,0.0,0.09251780458320194
0.3,0.05,0.08502575423105224
0.1,0.1,0.09337255597603279
