type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs(cs),0.015625,0.015625,0.001987413050679033,11,693,,693
1,3,HybridSVDs(cs),0.032670454545454544,0.022727272727272728,0.005299768135144088,23,2089,,681
1,10,HybridSVDs(cs),0.07244318181818182,0.02941637355699856,0.015568068896985757,51,6989,,653
1,20,HybridSVDs(cs),0.10511363636363637,0.03152641269807881,0.02865187148062272,74,14006,,630
1,30,HybridSVDs(cs),0.12215909090909091,0.03219031587373747,0.03842331897979463,86,21034,,618
2,1,HybridSVDs(cs),0.019858156028368795,0.019858156028368795,0.001987413050679033,14,691,,691
2,3,HybridSVDs(cs),0.03546099290780142,0.02671394799054374,0.0059622391520370984,25,2090,,680
2,10,HybridSVDs(cs),0.06808510638297872,0.03165822357311719,0.016727393176548526,48,7002,,657
2,20,HybridSVDs(cs),0.10638297872340426,0.034416548632015334,0.029314342497515734,75,14025,,630
2,30,HybridSVDs(cs),0.13900709219858157,0.03571571817295761,0.04173567406425969,98,21052,,607
3,1,HybridSVDs(cs),0.01278409090909091,0.01278409090909091,0.001987413050679033,9,695,,695
3,3,HybridSVDs(cs),0.02556818181818182,0.01846590909090909,0.006127856906260351,18,2094,,686
3,10,HybridSVDs(cs),0.046875,0.022054247835497837,0.015236833388539251,33,7007,,671
3,20,HybridSVDs(cs),0.06960227272727272,0.023599921391290482,0.029479960251738987,49,14031,,655
3,30,HybridSVDs(cs),0.09375,0.024556023134519968,0.04140443855581318,66,21054,,638
4,1,HybridSVDs(cs),0.01702127659574468,0.01702127659574468,0.001324942033786022,12,693,,693
4,3,HybridSVDs(cs),0.032624113475177303,0.02340425531914894,0.0051341503809208345,23,2092,,682
4,10,HybridSVDs(cs),0.06666666666666667,0.028758302375323654,0.014243126863199736,47,7003,,658
4,20,HybridSVDs(cs),0.09219858156028368,0.030524194520637447,0.024677045379264656,65,14035,,640
4,30,HybridSVDs(cs),0.11773049645390071,0.031592157233681875,0.03494534614110632,83,21067,,622
5,1,HybridSVDs(cs),0.015625,0.015625,0.001987413050679033,11,693,,693
5,3,HybridSVDs(cs),0.03125,0.02225378787878788,0.005299768135144088,22,2090,,682
5,10,HybridSVDs(cs),0.06392045454545454,0.028088924963924965,0.014077509108976483,45,6995,,659
5,20,HybridSVDs(cs),0.09090909090909091,0.02997577488550126,0.026333222921497184,64,14016,,640
5,30,HybridSVDs(cs),0.11505681818181818,0.030937147500170098,0.03726399470023187,81,21039,,623
