type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVDs,0.07119205298013245,0.07119205298013245,0.08546280522430437,86,1122,,1122
1,3,HybridSVDs,0.13493377483443708,0.09864790286975716,0.14281658148779103,163,3461,,1045
1,10,HybridSVDs,0.2582781456953642,0.11865572111846946,0.24900624645088018,312,11768,,896
1,20,HybridSVDs,0.34105960264900664,0.12432935782352339,0.33049403747870526,412,23748,,796
1,30,HybridSVDs,0.41307947019867547,0.12722462085739883,0.39522998296422485,499,35741,,709
2,1,HybridSVDs,0.058823529411764705,0.058823529411764705,0.08091993185689948,71,1136,,1136
2,3,HybridSVDs,0.1300745650372825,0.0896161281413974,0.14395229982964225,157,3464,,1050
2,10,HybridSVDs,0.2626346313173157,0.11095823305848161,0.2509937535491198,317,11753,,890
2,20,HybridSVDs,0.3595691797845899,0.11742735990971259,0.3429869392390687,434,23706,,773
2,30,HybridSVDs,0.4291632145816073,0.12020453337746662,0.4071550255536627,518,35692,,689
3,1,HybridSVDs,0.057119205298013245,0.057119205298013245,0.07836456558773425,69,1139,,1139
3,3,HybridSVDs,0.12417218543046357,0.08636865342163355,0.1368540601930721,150,3474,,1058
3,10,HybridSVDs,0.2508278145695364,0.10774597918637654,0.23282226007950027,303,11777,,905
3,20,HybridSVDs,0.3485099337748344,0.11484369883423279,0.30664395229982966,421,23739,,787
3,30,HybridSVDs,0.4279801324503311,0.11804417102786775,0.3628620102214651,517,35723,,691
4,1,HybridSVDs,0.05136702568351284,0.05136702568351284,0.08631459398069279,62,1145,,1145
4,3,HybridSVDs,0.11433305716652858,0.07774095553714444,0.14764338444065872,138,3483,,1069
4,10,HybridSVDs,0.22618061309030654,0.09641509185833957,0.25468483816013626,273,11797,,934
4,20,HybridSVDs,0.3148301574150787,0.10259910045471438,0.3432708688245315,380,23760,,827
4,30,HybridSVDs,0.38193869096934546,0.10522080541662247,0.4122657580919932,461,35749,,746
5,1,HybridSVDs,0.05140961857379768,0.05140961857379768,0.08065890372053394,62,1144,,1144
5,3,HybridSVDs,0.10281923714759536,0.07255389718076286,0.13916500994035785,124,3494,,1082
5,10,HybridSVDs,0.21807628524046435,0.09115204401274053,0.2374325475717126,263,11797,,943
5,20,HybridSVDs,0.3142620232172471,0.09769392747901906,0.32121556376029536,379,23741,,827
5,30,HybridSVDs,0.3864013266998342,0.10061453093879943,0.38284578244816814,466,35714,,740
