type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs(cs),0.014204545,0.014204545,0.010765154,10,694,,694
1,3,PureSVDs(cs),0.042613636,0.025804924,0.024180192,30,2082,,674
1,10,PureSVDs(cs),0.073863636,0.030676745,0.070553163,52,6988,,652
1,20,PureSVDs(cs),0.105113636,0.032730259,0.120404107,74,14006,,630
1,30,PureSVDs(cs),0.134943182,0.03391201,0.160814839,95,21025,,609
2,1,PureSVDs(cs),0.012765957,0.012765957,0.010102683,9,696,,696
2,3,PureSVDs(cs),0.025531915,0.017966903,0.027492547,18,2097,,687
2,10,PureSVDs(cs),0.068085106,0.025234155,0.070387546,48,7002,,657
2,20,PureSVDs(cs),0.10070922,0.027548011,0.121397814,71,14029,,634
2,30,PureSVDs(cs),0.130496454,0.028686951,0.160814839,92,21058,,613
3,1,PureSVDs(cs),0.007102273,0.007102273,0.011427625,5,699,,699
3,3,PureSVDs(cs),0.021306818,0.014204545,0.027823783,15,2097,,689
3,10,PureSVDs(cs),0.056818182,0.020211039,0.07519046,40,7000,,664
3,20,PureSVDs(cs),0.088068182,0.022280561,0.125703875,62,14018,,642
3,30,PureSVDs(cs),0.122159091,0.023653613,0.168267638,86,21034,,618
4,1,PureSVDs(cs),0.011347518,0.011347518,0.010268301,8,697,,697
4,3,PureSVDs(cs),0.036879433,0.022222222,0.024180192,26,2089,,679
4,10,PureSVDs(cs),0.068085106,0.027434988,0.070884399,48,7002,,657
4,20,PureSVDs(cs),0.096453901,0.029303619,0.121066578,68,14032,,637
4,30,PureSVDs(cs),0.120567376,0.030246815,0.162305399,85,21065,,620
5,1,PureSVDs(cs),0.007102273,0.007102273,0.01109639,5,699,,699
5,3,PureSVDs(cs),0.028409091,0.015861742,0.026830076,20,2092,,684
5,10,PureSVDs(cs),0.071022727,0.023247542,0.072374959,50,6990,,654
5,20,PureSVDs(cs),0.099431818,0.025195133,0.118913548,70,14010,,634
5,30,PureSVDs(cs),0.125,0.026215535,0.16296787,88,21032,,616
