col_scaling,rank,PureSVDs(cs)
0.2,1000,0.010806728
0.2,750,0.011262175
0.2,500,0.012286368
0.2,400,0.013337617
0.2,350,0.011558103
0.2,300,0.011733969
0.2,250,0.011255975
0.2,200,0.012704613
0.2,150,0.014884334
0.2,125,0.016053955
0.2,100,0.019163736
0.2,75,0.020885755
0.2,60,0.020687342
0.2,50,0.021207612
0.2,30,0.027532017
0.2,20,0.02814642
0.2,15,0.030272028
0.2,10,0.021877818
0.2,5,0.021626984
0.2,1,0.021489448
0.4,1000,0.012749143
0.4,750,0.013058036
0.4,500,0.011377165
0.4,400,0.012449833
0.4,350,0.013008433
0.4,300,0.01184614
0.4,250,0.013448661
0.4,200,0.016040427
0.4,150,0.017871235
0.4,125,0.018623174
0.4,100,0.021035692
0.4,75,0.021708717
0.4,60,0.024215368
0.4,50,0.026983
0.4,30,0.029507688
0.4,20,0.02787022
0.4,15,0.028088361
0.4,10,0.021165336
0.4,5,0.02076062
0.4,1,0.020860953
0.6,1000,0.012509582
0.6,750,0.013712459
0.6,500,0.013701186
0.6,400,0.015166171
0.6,350,0.015264813
0.6,300,0.016593389
0.6,250,0.01782445
0.6,200,0.019054947
0.6,150,0.022197984
0.6,125,0.022444309
0.6,100,0.023031656
0.6,75,0.025872565
0.6,60,0.029069151
0.6,50,0.028897231
0.6,30,0.030676745
0.6,20,0.026104234
0.6,15,0.024802151
0.6,10,0.021420116
0.6,5,0.019970351
0.6,1,0.020546424
