type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVDs,0.07036423841059603,0.07036423841059603,0.07637705848949461,85,1123,,1123
1,3,PureSVDs,0.13658940397350994,0.09850993377483444,0.13316297558205564,165,3459,,1043
1,10,PureSVDs,0.2541390728476821,0.118586079575318,0.22998296422487224,307,11773,,901
1,20,PureSVDs,0.3344370860927152,0.1242053272920761,0.3089153889835321,404,23756,,804
1,30,PureSVDs,0.40480132450331124,0.12700846846122055,0.36655309483248155,489,35751,,719
2,1,PureSVDs,0.05468102734051367,0.054681027340513666,0.07864849517319705,66,1141,,1141
2,3,PureSVDs,0.13338856669428334,0.08837337752002208,0.1354344122657581,161,3460,,1046
2,10,PureSVDs,0.256006628003314,0.10841684091476966,0.23736513344690516,309,11761,,898
2,20,PureSVDs,0.3487986743993372,0.11486942374954383,0.3188529244747303,421,23719,,786
2,30,PureSVDs,0.4299917149958575,0.11801638774865841,0.3750709823963657,519,35691,,688
3,1,PureSVDs,0.057947019867549666,0.05794701986754967,0.07382169222032936,70,1138,,1138
3,3,PureSVDs,0.12582781456953643,0.08705849889624726,0.1308915388983532,152,3472,,1056
3,10,PureSVDs,0.24917218543046357,0.10746084305686955,0.22118114707552528,301,11779,,907
3,20,PureSVDs,0.3667218543046358,0.1154192136347991,0.29131175468483816,443,23717,,765
3,30,PureSVDs,0.43460264900662254,0.1181034567959913,0.3480976717773992,525,35715,,683
4,1,PureSVDs,0.05302402651201325,0.05302402651201325,0.08375922771152754,64,1143,,1143
4,3,PureSVDs,0.10190555095277548,0.07456503728251863,0.14423622941510506,123,3498,,1084
4,10,PureSVDs,0.2212096106048053,0.09516214936678896,0.24190800681431004,267,11803,,940
4,20,PureSVDs,0.30985915492957744,0.10118777475149361,0.3262350936967632,374,23766,,833
4,30,PureSVDs,0.3852526926263463,0.1041440738571352,0.38727995457126635,465,35745,,742
5,1,PureSVDs,0.05472636815920398,0.05472636815920398,0.07810281170122124,66,1140,,1140
5,3,PureSVDs,0.10199004975124377,0.07352128247650636,0.13149673388241978,123,3495,,1083
5,10,PureSVDs,0.2197346600331675,0.09299961831056358,0.22436807725078103,265,11795,,941
5,20,PureSVDs,0.33250414593698174,0.10057379905132244,0.2962226640159046,401,23719,,805
5,30,PureSVDs,0.3880597014925373,0.10276105881325878,0.35132064754331155,468,35712,,738
