type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD(cs),0.011823064299567358,0.011823064299567358,0.0077594356376671425,317,26495,,26495
1,1,SIM(cs),0.007422049828435029,0.007422049828435029,0.017748342923340054,199,26613,,26613
1,1,MP(cs),0.0032448157541399374,0.003244815754139937,5.46439129413179e-06,87,26725,,26725
1,1,RND(cs),0.0,0.0,0.13640213548411775,0,26812,,26812
1,3,PureSVD(cs),0.0356183798299269,0.021806156447361877,0.01568280301415824,955,79481,,25857
1,3,SIM(cs),0.029315231985678054,0.01647272365607439,0.03809773610268684,786,79650,,26026
1,3,MP(cs),0.00887662240787707,0.0055634293102590875,1.639317388239537e-05,238,80198,,26574
1,3,RND(cs),0.0,0.0,0.3548302486844478,0,80436,,26812
1,10,PureSVD(cs),0.097866626883485,0.03198773529502308,0.03938186805680781,2624,265496,,24188
1,10,SIM(cs),0.10521408324630763,0.02864735406321263,0.0951405168221286,2821,265299,,23991
1,10,MP(cs),0.017604057884529314,0.007012644184432935,5.46439129413179e-05,472,267648,,26340
1,10,RND(cs),0.0,0.0,0.7681731993464588,0,268120,,26812
1,20,PureSVD(cs),0.14997016261375504,0.035605167634621716,0.06973109730441578,4021,532219,,22791
1,20,SIM(cs),0.18148590183499924,0.03385036251761717,0.1616804096107714,4866,531374,,21946
1,20,MP(cs),0.026555273758018798,0.00762377082858526,0.0001092878258826358,712,535528,,26100
1,20,RND(cs),7.459346561241235e-05,5.355428300378323e-06,0.9477713480106883,2,536238,,26810
1,30,PureSVD(cs),0.1811502312397434,0.0368599350794678,0.09626618142871975,4857,799503,,21955
1,30,SIM(cs),0.2319856780546024,0.035870925501789344,0.21576149024879374,6220,798140,,20592
1,30,MP(cs),0.033380575861554525,0.007901815642498793,0.0001639317388239537,895,803465,,25917
1,30,RND(cs),0.00011189019841861853,6.84729761262657e-06,0.9878854445009099,3,804357,,26809
2,1,PureSVD(cs),0.01200954796359839,0.01200954796359839,0.007704791724725824,322,26490,,26490
2,1,SIM(cs),0.007496643294047442,0.007496643294047442,0.017934132227340534,201,26611,,26611
2,1,MP(cs),0.0038788602118454423,0.0038788602118454423,5.46439129413179e-06,104,26708,,26708
2,1,RND(cs),0.0,0.0,0.13640213548411775,0,26812,,26812
2,3,PureSVD(cs),0.034089213784872445,0.021302650554478095,0.015857663535570454,914,79522,,25898
2,3,SIM(cs),0.02748769207817395,0.015602466557262915,0.038950181144571404,737,79699,,26075
2,3,MP(cs),0.008615545278233626,0.005805858073499428,1.639317388239537e-05,231,80205,,26581
2,3,RND(cs),0.0,0.0,0.3548302486844478,0,80436,,26812
2,10,PureSVD(cs),0.09906012233328361,0.03193483905571776,0.03986819888198554,2656,265464,,24156
2,10,SIM(cs),0.10573623750559451,0.028224524555458465,0.09708584012283952,2835,265285,,23977
2,10,MP(cs),0.017193793823661048,0.007220188662266836,5.46439129413179e-05,461,267659,,26351
2,10,RND(cs),0.0,0.0,0.7681731993464588,0,268120,,26812
2,20,PureSVD(cs),0.1534387587647322,0.03569281150473569,0.07019010617312285,4114,532126,,22698
2,20,SIM(cs),0.1842458600626585,0.03360137222109548,0.16407381299760113,4940,531300,,21872
2,20,MP(cs),0.02547366850663882,0.007783607661860675,0.0001092878258826358,683,535557,,26129
2,20,RND(cs),3.7296732806206175e-05,3.108061067183848e-06,0.9477713480106883,1,536239,,26811
2,30,PureSVD(cs),0.18805012680889155,0.03708323522471921,0.09707491134025126,5042,799318,,21770
2,30,SIM(cs),0.23836341936446367,0.035770336845806446,0.218799691808331,6391,797969,,20421
2,30,MP(cs),0.03196330001491869,0.008045036823307417,0.0001639317388239537,857,803503,,25955
2,30,RND(cs),7.459346561241235e-05,4.729658145714551e-06,0.9878854445009099,2,804358,,26810
3,1,PureSVD(cs),0.012382977136250046,0.012382977136250046,0.007639219029196243,332,26479,,26479
3,1,SIM(cs),0.007273134161351684,0.007273134161351684,0.017649983880045683,195,26616,,26616
3,1,MP(cs),0.002760061168923203,0.002760061168923203,5.46439129413179e-06,74,26737,,26737
3,1,RND(cs),0.0,0.0,0.1363966710928236,0,26811,,26811
3,3,PureSVD(cs),0.035992689567714745,0.022173734661146548,0.015731982535805423,965,79468,,25846
3,3,SIM(cs),0.02871955540636306,0.0160817077567665,0.037666049190450426,770,79663,,26041
3,3,MP(cs),0.007758009772108463,0.004830107045615605,1.639317388239537e-05,208,80225,,26603
3,3,RND(cs),0.0,0.0,0.35481931990185955,0,80433,,26811
3,10,PureSVD(cs),0.09734810339039947,0.03218022927097561,0.03955672857822003,2610,265500,,24201
3,10,SIM(cs),0.1054790944015516,0.02835045198813801,0.09479626017059829,2828,265282,,23983
3,10,MP(cs),0.015366827048599456,0.0061173659472865015,5.46439129413179e-05,412,267698,,26399
3,10,RND(cs),0.0,0.0,0.7681622705638705,0,268110,,26811
3,20,PureSVD(cs),0.14911789936966172,0.03578506587100282,0.06976934804347469,3998,532222,,22813
3,20,SIM(cs),0.18205214277721832,0.03359109163486364,0.1604399927870035,4881,531339,,21930
3,20,MP(cs),0.023796203050986536,0.00669620567112505,0.0001092878258826358,638,535582,,26173
3,20,RND(cs),3.729812390436761e-05,2.3311327440229755e-06,0.9477658836193942,1,536219,,26810
3,30,PureSVD(cs),0.184961396441759,0.037226733608099,0.09693830155789795,4959,799371,,21852
3,30,SIM(cs),0.23288948565887135,0.03562619122368385,0.21436807046879014,6244,798086,,20567
3,30,MP(cs),0.03058446160158144,0.006970611592332724,0.0001639317388239537,820,803510,,25991
3,30,RND(cs),7.459624780873522e-05,3.7125447404810348e-06,0.9878854445009099,2,804328,,26809
4,1,PureSVD(cs),0.011748470833954945,0.011748470833954947,0.007732113681196483,315,26497,,26497
4,1,SIM(cs),0.006899895569148142,0.006899895569148143,0.018059813227105568,185,26627,,26627
4,1,MP(cs),0.0031329255557213187,0.0031329255557213183,5.46439129413179e-06,84,26728,,26728
4,1,RND(cs),0.0,0.0,0.13640213548411775,0,26812,,26812
