type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,PureSVD,0.017923007568099232,0.01792300756809923,0.050112264003162786,656,35945,,35945
1,1,SIM,0.013414934018196224,0.013414934018196226,0.13743202619742054,491,36110,,36110
1,1,MP,0.001065544657249802,0.0010655446572498018,8.205342423858152e-05,39,36562,,36562
1,1,RND,2.732165787820005e-05,2.732165787820005e-05,0.23922302866648268,1,36600,,36600
1,3,PureSVD,0.03999890713368487,0.027212371246687246,0.09003498459633445,1464,108339,,35137
1,3,SIM,0.02718504958880905,0.01939382348387567,0.26390619055788866,995,108808,,35606
1,3,MP,0.0029234173929674053,0.0018578727357176034,0.00016410684847716303,107,109696,,36494
1,3,RND,2.732165787820005e-05,2.732165787820005e-05,0.558090094659814,1,109802,,36600
1,10,PureSVD,0.08289391000245895,0.034282435686768906,0.1672920132180607,3034,362976,,33567
1,10,SIM,0.04609163684052348,0.02267115392371533,0.45488926517428896,1687,364322,,34914
1,10,MP,0.008606322231633016,0.0027769212654871517,0.00032075429475081867,315,365695,,36286
1,10,RND,5.46433157564001e-05,3.0053823666020055e-05,0.9357297906145802,2,366008,,36599
1,20,PureSVD,0.11811152700745882,0.036701644560497404,0.2347324685399712,4323,727697,,32278
1,20,SIM,0.06374142782984071,0.023854083821592407,0.5874950581460402,2333,729657,,34268
1,20,MP,0.01677549793721483,0.0033146441000227074,0.0005296175564490262,614,731406,,35987
1,20,RND,0.00013660828939100024,3.5695137640871075e-05,0.9960092198211236,5,732015,,36596
1,30,PureSVD,0.14496871670172945,0.037782089761102686,0.2849491641739831,5306,1092724,,31295
1,30,SIM,0.07543509740171034,0.024324819657994837,0.6654383517704892,2761,1095168,,33840
1,30,MP,0.023551269091008444,0.0035871555276426274,0.0007310214159437263,862,1097168,,35739
1,30,RND,0.00019125160514740035,3.808903528353242e-05,0.9997016239118597,7,1098023,,36594
2,1,PureSVD,0.017185792349726777,0.017185792349726777,0.050977554658769644,629,35971,,35971
2,1,SIM,0.013743169398907103,0.013743169398907105,0.13666370777045928,503,36097,,36097
2,1,MP,0.0007923497267759563,0.0007923497267759563,0.00010443163084910375,29,36571,,36571
2,1,RND,0.0,0.0,0.23926032567750022,0,36600,,36600
2,3,PureSVD,0.03816939890710382,0.026179417122040076,0.08951282644208892,1397,108403,,35203
2,3,SIM,0.0269672131147541,0.01945810564663024,0.26297376528245026,987,108813,,35613
2,3,MP,0.00273224043715847,0.0016347905282331511,0.00017902565288417787,100,109700,,36500
2,3,RND,2.73224043715847e-05,9.107468123861566e-06,0.5580826352576105,1,109799,,36599
2,10,PureSVD,0.08027322404371584,0.03318844869459624,0.16606867125668548,2938,363062,,33662
2,10,SIM,0.04431693989071038,0.022425101916905197,0.4567988721383868,1622,364378,,34978
2,10,MP,0.00871584699453552,0.0026001496226906065,0.00038042951237887793,319,365681,,36281
2,10,RND,0.0001366120218579235,2.3332465955416774e-05,0.9357521688211907,5,365995,,36595
2,20,PureSVD,0.1173224043715847,0.03570681696912474,0.23389701549317837,4294,727706,,32306
2,20,SIM,0.06185792349726776,0.023620474699634596,0.5893673680991205,2264,729708,,34336
2,20,MP,0.016775956284153005,0.003148015707714738,0.0006489679917051447,614,731386,,35986
2,20,RND,0.0001639344262295082,2.5434189368615597e-05,0.996016679223327,6,731994,,36594
2,30,PureSVD,0.1428415300546448,0.036731208668923813,0.2828530721547975,5228,1092772,,31372
2,30,SIM,0.07368852459016394,0.0240948832194063,0.6641254969826718,2697,1095171,,33903
2,30,MP,0.023278688524590165,0.003405712670019643,0.0009025876666243967,852,1097148,,35748
2,30,RND,0.000273224043715847,2.9869644623742983e-05,0.9997016239118597,10,1097990,,36590
3,1,PureSVD,0.017895685910221032,0.017895685910221032,0.05120133672487487,655,35946,,35946
3,1,SIM,0.012485997650337423,0.012485997650337421,0.13841666728828353,457,36144,,36144
3,1,MP,0.0009289363678588017,0.0009289363678588015,9.697222864559635e-05,34,36567,,36567
3,1,RND,0.0,0.0,0.2392304880686862,0,36601,,36601
3,3,PureSVD,0.04024480205458867,0.02742639090006648,0.0905944397615975,1473,108330,,35128
3,3,SIM,0.026829868036392448,0.0187335500851525,0.26404791919975534,982,108821,,35619
3,3,MP,0.0024589492090380046,0.0015755489376428693,0.00016410684847716303,90,109713,,36511
3,3,RND,0.0,0.0,0.5580602570509999,0,109803,,36601
3,10,PureSVD,0.08259337176579874,0.03454036514745238,0.1685004363750289,3023,362987,,33578
3,10,SIM,0.04379661757875468,0.021573332847614972,0.4570151948022885,1603,364406,,34998
3,10,MP,0.008305783994972815,0.002511120565272091,0.0003878889145823854,304,365706,,36297
3,10,RND,5.46433157564001e-05,1.2294746045190023e-05,0.9357969252344117,2,366008,,36599
3,20,PureSVD,0.11953225321712521,0.03704951529452573,0.23595581050134642,4375,727645,,32226
3,20,SIM,0.06114587033141171,0.022752420032190548,0.5892703958704749,2238,729744,,34363
3,20,MP,0.015054233490888228,0.002948705931428451,0.0006265897850946225,551,731469,,36050
3,20,RND,0.0001639299472692003,1.9711610241923625e-05,0.9960092198211236,6,732014,,36595
3,30,PureSVD,0.14491407338597306,0.03806873326509275,0.28570256379653736,5304,1092726,,31297
3,30,SIM,0.07319472145569793,0.02324084408503557,0.6654234329660821,2679,1095226,,33922
3,30,MP,0.02278626267041884,0.003255381027112965,0.0008056154379788003,834,1097196,,35767
3,30,RND,0.00027321657878200047,2.4005306208539446e-05,0.9997090833140632,10,1098020,,36591
4,1,PureSVD,0.017704918032786884,0.017704918032786884,0.050925338843345096,648,35952,,35952
4,1,SIM,0.013715846994535518,0.01371584699453552,0.13663387016164524,502,36098,,36098
4,1,MP,0.001284153005464481,0.001284153005464481,7.459402203507411e-05,47,36553,,36553
4,1,RND,2.73224043715847e-05,2.73224043715847e-05,0.2392752444819072,1,36599,,36599
4,3,PureSVD,0.04008196721311475,0.027358834244080144,0.0902811448690502,1467,108333,,35133
4,3,SIM,0.025874316939890712,0.01894808743169399,0.2610641583183524,947,108853,,35653
