regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
1e-09,3e-08,100,0.9,1949.935854
1e-09,3e-08,100,0.99,2047.026567
3e-10,3e-09,100,0.99,2044.234473
3e-08,1e-08,100,0.99,1677.328025
1e-10,3e-08,100,0.95,2091.481907
3e-10,1e-07,100,0.99,1970.313204
3e-06,3e-07,100,0.99,2309.711391
3e-07,3e-10,100,0.95,1980.930589
3e-09,3e-08,100,0.95,2484.217103
3e-07,3e-10,100,0.99,1787.372959
1e-10,3e-10,100,0.9,2009.948146
1e-09,3e-06,100,0.99,1995.102565
1e-07,3e-10,100,0.95,2034.707619
1e-10,3e-06,100,0.99,1967.750926
1e-06,3e-10,100,0.9,2007.922444
3e-10,1e-09,100,0.99,2016.707182
3e-06,1e-08,100,0.9,1901.342837
1e-08,1e-10,100,0.95,1941.720615
1e-06,1e-08,100,0.95,1859.159853
3e-10,3e-06,100,0.99,1935.423075
3e-07,1e-10,100,0.9,1987.476584
3e-07,1e-10,100,0.95,1697.804715
1e-09,1e-10,100,0.9,1655.819664
1e-09,1e-07,100,0.95,1952.443418
1e-09,1e-10,100,0.99,2006.473887
3e-08,1e-10,100,0.99,1728.246503
3e-06,3e-10,100,0.95,1727.495384
1e-10,1e-10,100,0.9,1827.150656
1e-10,1e-07,100,0.9,1989.429283
3e-06,1e-09,100,0.95,1855.066722
