regularization,linear_regularization,rank,adagrad_momentum_weighting,FM
1e-09,3e-08,100,0.9,0.0011911917577063337
1e-09,3e-08,100,0.99,0.0013395852225392402
3e-10,3e-09,100,0.99,0.001118117164809878
3e-08,1e-08,100,0.99,9.107219292733348e-06
1e-10,3e-08,100,0.95,0.0012924662046270745
3e-10,1e-07,100,0.99,0.0022806103398163723
3e-06,3e-07,100,0.99,0.0011688248608004896
3e-07,3e-10,100,0.95,0.0012529473780532494
3e-09,3e-08,100,0.95,0.0015143137298269669
3e-07,3e-10,100,0.99,0.0016788399831212867
1e-10,3e-10,100,0.9,0.0011981305914531785
1e-09,3e-06,100,0.99,0.001552564050856447
1e-07,3e-10,100,0.95,0.001504382524026796
1e-10,3e-06,100,0.99,0.0012189470926937114
1e-06,3e-10,100,0.9,0.001413321173027192
3e-10,1e-09,100,0.99,0.0013425233849539194
3e-06,1e-08,100,0.9,0.001901110343502628
1e-08,1e-10,100,0.95,1.3660828939100022e-05
1e-06,1e-08,100,0.95,0.0014394502188551529
3e-10,3e-06,100,0.99,0.0016687027806942562
3e-07,1e-10,100,0.9,0.0017306643976680316
3e-07,1e-10,100,0.95,0.0009043468757684214
1e-09,1e-10,100,0.9,0.0026117987061677127
1e-09,1e-07,100,0.95,0.0021720718013169037
1e-09,1e-10,100,0.99,0.0021874348129095264
3e-08,1e-10,100,0.99,0.002249667478076538
3e-06,3e-10,100,0.95,0.0019526528679284067
1e-10,1e-10,100,0.9,0.0022411890905921126
1e-10,1e-07,100,0.9,0.0021240637453309235
3e-06,1e-09,100,0.95,0.0016716084173257475
