type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD(cs),0.014993286588094883,0.014993286588094882,0.007988940072020678,402,26410,,26410
1,3,HybridSVD(cs),0.044681485901835,0.027369585757620968,0.016125418708982913,1198,79238,,25614
1,10,HybridSVD(cs),0.11793226913322392,0.03943195595907068,0.040070381359868415,3162,264958,,23650
1,20,HybridSVD(cs),0.18984036998358944,0.04434055982181729,0.0709551209543013,5090,531150,,21722
1,30,HybridSVD(cs),0.23992988214232433,0.046347943190622826,0.10011857729108266,6433,797927,,20379
2,1,HybridSVD(cs),0.01424735193197076,0.01424735193197076,0.008076370332726786,382,26430,,26430
2,3,HybridSVD(cs),0.042891242727137104,0.026219603162762943,0.01627295727392447,1150,79286,,25662
2,10,HybridSVD(cs),0.12166194241384455,0.03901494296559939,0.04027802822904543,3262,264858,,23550
2,20,HybridSVD(cs),0.19368193346262869,0.04393670662070768,0.0715398108227734,5193,531047,,21619
2,30,HybridSVD(cs),0.2428017305684022,0.04590612309899357,0.10069780276826062,6510,797850,,20302
3,1,HybridSVD(cs),0.012382977136250046,0.012382977136250046,0.007999868854608941,332,26479,,26479
3,3,HybridSVD(cs),0.04259445749878781,0.025051906555766907,0.01605984601345333,1142,79291,,25669
3,10,HybridSVD(cs),0.11935399649397635,0.03759425916749404,0.03990644962104446,3200,264910,,23611
3,20,HybridSVD(cs),0.19040692253179664,0.0424449971646013,0.07098790730206608,5105,531115,,21706
3,30,HybridSVD(cs),0.23934206109432696,0.044403510741904906,0.10032075976896554,6417,797913,,20394
4,1,HybridSVD(cs),0.013016559749365955,0.013016559749365955,0.008005333245903072,349,26463,,26463
4,3,HybridSVD(cs),0.041100999552439205,0.024765030583320902,0.01610902553510052,1102,79334,,25710
4,10,HybridSVD(cs),0.12117708488736387,0.03771648385347475,0.04008677453375081,3249,264871,,23563
4,20,HybridSVD(cs),0.1957705504997762,0.04280092051258928,0.07132123517100812,5249,530991,,21563
4,30,HybridSVD(cs),0.24671788751305385,0.04484524118731606,0.1004682983339071,6615,797745,,20197
5,1,HybridSVD(cs),0.012830076085334924,0.012830076085334922,0.00793976055037349,344,26468,,26468
5,3,HybridSVD(cs),0.04057884529315232,0.02444179223233378,0.016136347491571175,1088,79348,,25724
5,10,HybridSVD(cs),0.11841712665970461,0.03708920312866307,0.03995562914269165,3175,264945,,23637
5,20,HybridSVD(cs),0.18939280918991497,0.04195844973378651,0.07108080195406632,5078,531162,,21734
5,30,HybridSVD(cs),0.23951961808145605,0.04397205949562952,0.10056119298590734,6422,797938,,20390
