features_weight,rank,HybridSVD(cs)
0.1,3000,0.03366672468380659
0.1,2500,0.034878261688085645
0.1,2000,0.03518181565231394
0.1,1750,0.03508515495312452
0.1,1500,0.035276715116898616
0.1,1250,0.03480514825155285
0.1,1000,0.033949528640338726
0.1,750,0.03336648598471663
0.1,500,0.03121510091430276
0.1,400,0.03001164486879838
0.1,350,0.029576915927244138
0.1,300,0.02873168612016889
0.1,250,0.02747676946356642
0.1,200,0.026351888161898606
0.1,150,0.02477234192697418
0.1,125,0.023949238554639124
0.1,100,0.023127230403822977
0.1,75,0.02100344787574386
0.1,60,0.019826069942622232
0.1,50,0.018513387751042533
0.1,30,0.015999099550307965
0.1,20,0.01296524714117583
0.1,15,0.011881185041523697
0.1,10,0.010921104977870603
0.1,5,0.00818204476081546
0.1,1,0.0036903489079753438
0.3,3000,0.03647092098065543
0.3,2500,0.036923913481052076
0.3,2000,0.03777414578641641
0.3,1750,0.03741335909767955
0.3,1500,0.036422894037022036
0.3,1250,0.03645822233115236
0.3,1000,0.03579900257880266
0.3,750,0.03559795542862826
0.3,500,0.03330684081280828
0.3,400,0.03208978330006228
0.3,350,0.031616544001856546
0.3,300,0.030525821771346162
0.3,250,0.029435365946070106
0.3,200,0.028315398340946603
0.3,150,0.026552239698405596
0.3,125,0.025412735709431217
0.3,100,0.02410230316205253
0.3,75,0.021693792639637784
0.3,60,0.020411495445062506
0.3,50,0.019250827040249684
0.3,30,0.01536287944985543
0.3,20,0.013234568032792708
0.3,15,0.011930692014236695
0.3,10,0.010965935058692033
0.3,5,0.008093450220109924
0.3,1,0.0036903489079753438
0.5,3000,0.03762167319063485
0.5,2500,0.038247148279969403
0.5,2000,0.03854559614387304
0.5,1750,0.038110837601737196
0.5,1500,0.037456235540115894
0.5,1250,0.03716873989140138
0.5,1000,0.03658368439623102
0.5,750,0.036166227394035834
0.5,500,0.033901960505720016
0.5,400,0.03244873475274042
0.5,350,0.03217820023727826
0.5,300,0.031122643497699443
0.5,250,0.02992413074932096
0.5,200,0.028386898545782628
0.5,150,0.02665841698457691
0.5,125,0.025494477715498155
0.5,100,0.024322768293751438
0.5,75,0.02203486534103422
0.5,60,0.020560193966691055
0.5,50,0.019202696494580725
0.5,30,0.015239829832176543
0.5,20,0.013407154223766189
0.5,15,0.011847469979090149
0.5,10,0.010850537191354736
0.5,5,0.008087988912806158
0.5,1,0.0036903489079753438
0.7,3000,0.03814863754443047
0.7,2500,0.03877282500846577
0.7,2000,0.038960403894015706
0.7,1750,0.03859542872298355
0.7,1500,0.03812893835738084
0.7,1250,0.03716008172128566
0.7,1000,0.03702462945991963
0.7,750,0.0363533474705711
0.7,500,0.03425515464527847
0.7,400,0.03253401402830763
0.7,350,0.032366060328353326
0.7,300,0.031152036875220522
0.7,250,0.02988110630397666
0.7,200,0.028636742254711817
0.7,150,0.026798161330273816
0.7,125,0.025570166402629477
0.7,100,0.024207740433684042
0.7,75,0.022112951675274516
0.7,60,0.020541530799997154
0.7,50,0.019039552889135166
0.7,30,0.015216741378534605
0.7,20,0.01336347856562686
0.7,15,0.011653156961227974
0.7,10,0.010744374705474213
0.7,5,0.008076104279296878
0.7,1,0.0036903489079753438
0.9,3000,0.038378086452642624
0.9,2500,0.03943195595907068
0.9,2000,0.03903671419336047
0.9,1750,0.03898087269618673
0.9,1500,0.03818017696411699
0.9,1250,0.03744651174906284
0.9,1000,0.03735004345365377
0.9,750,0.03651650587630746
0.9,500,0.03434170674585414
0.9,400,0.0325550600418197
0.9,350,0.03226518154628702
0.9,300,0.03110403953216873
0.9,250,0.02992182190395677
0.9,200,0.028634107802950108
0.9,150,0.026731678424017673
0.9,125,0.025719471736180673
0.9,100,0.02422148990383363
0.9,75,0.0221903127952658
0.9,60,0.020523755650751024
0.9,50,0.019019750100049967
0.9,30,0.015074924992126246
0.9,20,0.01334187014106453
0.9,15,0.011662022335414846
0.9,10,0.010689288023131079
0.9,5,0.008090490161950702
0.9,1,0.0036903489079753438
