type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,HybridSVD,0.02103767656621404,0.021037676566214036,0.04802363138618071,770,35831,,35831
1,3,HybridSVD,0.04762164968170268,0.032503665655765325,0.10070192974735005,1743,108060,,34858
1,10,HybridSVD,0.09945083467664818,0.04112845169032158,0.22024630946075982,3640,362370,,32961
1,20,HybridSVD,0.14387585038660147,0.04417204831890185,0.32957130815536445,5266,726754,,31335
1,30,HybridSVD,0.17592415507773013,0.04545726369445859,0.4071789286806555,6439,1091591,,30162
2,1,HybridSVD,0.019453551912568305,0.019453551912568305,0.04809076600601228,712,35888,,35888
2,3,HybridSVD,0.04612021857923497,0.03077413479052823,0.10008279936445894,1688,108112,,34912
2,10,HybridSVD,0.09846994535519125,0.03947671090294041,0.22050738853788257,3604,362396,,32996
2,20,HybridSVD,0.1437704918032787,0.04256782595655166,0.32860904527111195,5262,726738,,31338
2,30,HybridSVD,0.17633879781420764,0.04387495438983812,0.4039191699177228,6454,1091546,,30146
3,1,HybridSVD,0.020381956777137236,0.020381956777137236,0.047837146331093025,746,35855,,35855
3,3,HybridSVD,0.04707521652413869,0.03166580148083386,0.10114949387956049,1723,108080,,34878
3,10,HybridSVD,0.10346711838474358,0.040936191785895346,0.2217456493036648,3787,362223,,32814
3,20,HybridSVD,0.14890303543619027,0.04403814396013872,0.33110048560708344,5450,726570,,31151
3,30,HybridSVD,0.18223545804759433,0.04536994778117455,0.4074549265621853,6670,1091360,,29931
4,1,HybridSVD,0.01975409836065574,0.019754098360655736,0.047874443342110565,723,35877,,35877
4,3,HybridSVD,0.04680327868852459,0.03127049180327869,0.10026182501734311,1713,108087,,34887
4,10,HybridSVD,0.10147540983606558,0.04024335371671438,0.22019409364533526,3714,362286,,32886
4,20,HybridSVD,0.14560109289617487,0.04326550504620469,0.3277512140177086,5329,726671,,31271
4,30,HybridSVD,0.17797814207650273,0.04455978693116193,0.4039266293199263,6514,1091486,,30086
5,1,HybridSVD,0.02109231988197044,0.021092319881970436,0.048329466876524514,772,35829,,35829
5,3,HybridSVD,0.04857790770743969,0.03265393477409543,0.10207445975279542,1778,108025,,34823
5,10,HybridSVD,0.10442337641048059,0.04200634426243016,0.22336433958182592,3822,362188,,32779
5,20,HybridSVD,0.14729105762137645,0.044941402890159216,0.33171961598997457,5391,726629,,31210
5,30,HybridSVD,0.17808256605010792,0.046180898831600044,0.4084544864574553,6518,1091512,,30083
