features_weight,rank,HybridSVD
0.1,3000,0.037043527737771066
0.1,2500,0.03601764285215557
0.1,2000,0.03504704095603251
0.1,1750,0.03453177834069066
0.1,1500,0.03404442284732441
0.1,1250,0.0331244310698424
0.1,1000,0.03236382647191095
0.1,750,0.03113050298304799
0.1,500,0.028934730727714526
0.1,400,0.027795688642386816
0.1,350,0.02677040006279644
0.1,300,0.02552108473053256
0.1,250,0.02449201231816461
0.1,200,0.02316040675443424
0.1,150,0.02130216539317384
0.1,125,0.020298994346151525
0.1,100,0.018979932892804127
0.1,75,0.017518777134634626
0.1,60,0.015403961553656918
0.1,50,0.013961703275519837
0.1,30,0.01101255798805046
0.1,20,0.008768333157694102
0.1,15,0.008304981692320836
0.1,10,0.006892701344355671
0.1,5,0.00518191020021571
0.1,1,0.0015294056932263539
0.3,3000,0.03947076430820044
0.3,2500,0.03857042894569191
0.3,2000,0.03721874413180661
0.3,1750,0.03618275456954728
0.3,1500,0.03506260996425199
0.3,1250,0.03419826980180522
0.3,1000,0.0328250746033047
0.3,750,0.030589848572963787
0.3,500,0.02711145458338158
0.3,400,0.02506829330276777
0.3,350,0.024505564727826414
0.3,300,0.023248128791693173
0.3,250,0.021996807702799343
0.3,200,0.020743329070287347
0.3,150,0.018083381363073175
0.3,125,0.016980497106723166
0.3,100,0.01566242226879914
0.3,75,0.013866196734151163
0.3,60,0.012954087038128458
0.3,50,0.011781749392743629
0.3,30,0.010134199213049517
0.3,20,0.008114651651030438
0.3,15,0.00780372684760543
0.3,10,0.006521538790465869
0.3,5,0.00511361689744794
0.3,1,0.0015333955226307895
0.5,3000,0.040876235925551514
0.5,2500,0.039494410552578366
0.5,2000,0.03776893943829273
0.5,1750,0.036313974420856744
0.5,1500,0.03534521565244769
0.5,1250,0.03357132448892237
0.5,1000,0.03154733173653422
0.5,750,0.028583506478919177
0.5,500,0.02569148730865624
0.5,400,0.02404285293618918
0.5,350,0.023153305291771457
0.5,300,0.021680223413099563
0.5,250,0.02013145403694842
0.5,200,0.01890622946809936
0.5,150,0.01666932293896038
0.5,125,0.015598422369412232
0.5,100,0.014576917622599434
0.5,75,0.013337576863846637
0.5,60,0.012471371889830402
0.5,50,0.011343215099943058
0.5,30,0.009441053089450674
0.5,20,0.008017486294719156
0.5,15,0.00765618989506315
0.5,10,0.006519348721064522
0.5,5,0.005017492366198685
0.5,1,0.0015333955226307895
0.7,3000,0.04112845169032158
0.7,2500,0.03962195499038755
0.7,2000,0.037432850520607686
0.7,1750,0.036035900658451955
0.7,1500,0.034484128068319755
0.7,1250,0.0329210690314212
0.7,1000,0.03062106248289686
0.7,750,0.02764660129417923
0.7,500,0.02473766871665836
0.7,400,0.022961554957948497
0.7,350,0.021919407180738835
0.7,300,0.020548434577422857
0.7,250,0.01927648130005989
0.7,200,0.018223057918011605
0.7,150,0.016051094535971998
0.7,125,0.014978383364493034
0.7,100,0.014053469351821855
0.7,75,0.013017371370285226
0.7,60,0.01207289851999013
0.7,50,0.011129911013793967
0.7,30,0.009130963114460832
0.7,20,0.007986272384786086
0.7,15,0.007581087861681287
0.7,10,0.006486942199081212
0.7,5,0.0050194981228286325
0.7,1,0.0015333955226307895
0.9,3000,0.04101651962844279
0.9,2500,0.03893032673667082
0.9,2000,0.03688759913316619
0.9,1750,0.035627918917992954
0.9,1500,0.033741987273311555
0.9,1250,0.0322237379237188
0.9,1000,0.02980563025643761
0.9,750,0.02702948960974698
0.9,500,0.023989391390555292
0.9,400,0.022055690212297953
0.9,350,0.021216405744833928
0.9,300,0.01991587314597615
0.9,250,0.018837404910872848
0.9,200,0.017803139215122492
0.9,150,0.015622209558850632
0.9,125,0.014787391965611138
0.9,100,0.013893063031064724
0.9,75,0.012855924224466067
0.9,60,0.011912980085980823
0.9,50,0.010946454754684039
0.9,30,0.009087833925953104
0.9,20,0.007949485724000081
0.9,15,0.007554449245250042
0.9,10,0.006469324066520865
0.9,5,0.005022338707893747
0.9,1,0.0015333955226307895
