alpha,beta,LCE
0.3,0.1,322.2746218871325
0.7,0.3,333.62924795085564
0.3,0.0,334.26734577910975
0.1,0.3,570.8343003122136
0.5,0.3,469.33497558906674
0.1,0.1,477.8650055960752
0.5,0.1,383.9262276669033
0.9,0.1,311.2483144616708
0.7,0.1,314.3979275440797
0.7,0.05,320.6615463960916
0.1,0.05,317.6303800740279
0.5,0.05,321.82754429383203
0.7,0.0,326.885742848739
0.9,0.3,319.1864650528878
0.9,0.05,327.3858194537461
0.9,0.0,335.5410054936074
0.3,0.3,324.07644553203136
0.1,0.0,320.6842039558105
0.3,0.05,323.96515044989064
0.5,0.0,318.9554531699978
