type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE(cs),0.011897657765179771,0.01189765776517977,0.0038469314710687804,319,26493,,26493
1,3,LCE(cs),0.026853647620468445,0.01816350887662241,0.009486183286612788,720,79716,,26092
1,10,LCE(cs),0.050499776219603165,0.02209209806554279,0.023513275738649093,1354,266766,,25458
1,20,LCE(cs),0.06989407727883037,0.023428552748296715,0.039414654404572605,1874,534366,,24938
1,30,LCE(cs),0.08447709980605698,0.024016042618922415,0.05235979738037081,2265,802095,,24547
2,1,LCE(cs),0.011039832910637029,0.011039832910637027,0.0038906466014218344,296,26516,,26516
2,3,LCE(cs),0.02566015217066985,0.017274603411407824,0.009600935503789555,688,79748,,26124
2,10,LCE(cs),0.05016410562434731,0.021375689989556912,0.023551526477708015,1345,266775,,25467
2,20,LCE(cs),0.07105027599582277,0.022808455180355045,0.0392944377961017,1905,534335,,24907
2,30,LCE(cs),0.08600626585111144,0.02341067239337006,0.052365261771664944,2306,802054,,24506
3,1,LCE(cs),0.010667263436649137,0.010667263436649137,0.003797751949421594,286,26525,,26525
3,3,LCE(cs),0.025362724254969975,0.01695821366851914,0.00934410911296536,680,79753,,26131
3,10,LCE(cs),0.04863675357129536,0.02074453567683958,0.023092517609000947,1304,266806,,25507
3,20,LCE(cs),0.07045615605535041,0.022226505385826514,0.03875892744927679,1889,534331,,24922
3,30,LCE(cs),0.0856737906083324,0.02283656300011811,0.05173139238154566,2297,802033,,24514
4,1,LCE(cs),0.01014471132328808,0.01014471132328808,0.0038742534275394394,272,26540,,26540
4,3,LCE(cs),0.026592570490825005,0.017150280968720472,0.00945886133014213,713,79723,,26099
4,10,LCE(cs),0.05102193047889005,0.021243197786350105,0.023376665956295797,1368,266752,,25444
4,20,LCE(cs),0.07257944204087721,0.022708928107286655,0.03916875679633667,1946,534294,,24866
4,30,LCE(cs),0.08969864239892586,0.023392896678301932,0.052064720250487695,2405,801955,,24407
5,1,LCE(cs),0.011673877368342533,0.011673877368342533,0.0038687890362453076,313,26499,,26499
5,3,LCE(cs),0.025995822765925707,0.017765677060022876,0.00952443402567171,697,79739,,26115
5,10,LCE(cs),0.04945546770102939,0.02171578587176081,0.02374824456429676,1326,266794,,25486
5,20,LCE(cs),0.07131135312546621,0.02321238647335385,0.0396714807953968,1912,534328,,24900
5,30,LCE(cs),0.08686409070565418,0.023824906201424335,0.052917165292372254,2329,802031,,24483
