alpha,beta,LCE(cs)
0.3,0.1,0.013519991640795759
0.3,0.05,0.013634945499409173
0.7,0.3,0.012894250146226874
0.9,0.1,0.013335254411078667
0.9,0.3,0.012440576832453603
0.5,0.05,0.013389852683825532
0.5,0.1,0.012854378162822143
0.7,0.05,0.013126422307945508
0.5,0.0,0.012152977581703524
0.1,0.05,0.013649286981190606
0.9,0.0,0.012039118944609023
0.5,0.3,0.012952326487310822
0.7,0.0,0.01282502918617345
0.1,0.3,0.013062425850543109
0.3,0.0,0.013141977413572222
0.9,0.05,0.013203724226773607
0.3,0.3,0.012961117860043713
0.1,0.0,0.013066051921788158
0.1,0.1,0.013726130091004027
0.7,0.1,0.013451688298771695
