type,,,relevance,ranking,experience,hits,hits,hits,hits
metric,,,hr,mrr,coverage,true_positive,false_positive,true_negative,false_negative
fold,top-n,model,,,,,,,
1,1,LCE,0.014835660227862627,0.014835660227862627,0.026003476081426835,543,36058,,36058
1,3,LCE,0.03480779213682686,0.02327805251222644,0.04636018469479856,1274,108529,,35327
1,10,LCE,0.07945138110980575,0.0305633400596653,0.09174318770093765,2908,363102,,33693
1,20,LCE,0.12193655911040682,0.03344043550794804,0.13612663081180673,4463,727557,,32138
1,30,LCE,0.15447665364334306,0.03473992218584869,0.17085014806913373,5654,1092376,,30947
2,1,LCE,0.014726775956284154,0.014726775956284154,0.025406723905146242,539,36061,,36061
2,3,LCE,0.03423497267759563,0.02290983606557377,0.046248293661745946,1253,108547,,35347
2,10,LCE,0.0790983606557377,0.030286202185792352,0.09148956802601839,2895,363105,,33705
2,20,LCE,0.1221311475409836,0.03320573164253061,0.13617138722502778,4470,727530,,32130
2,30,LCE,0.15628415300546447,0.034567980683177534,0.1708277698625232,5720,1092280,,30880
3,1,LCE,0.015272806753913827,0.015272806753913825,0.026010935483630343,559,36042,,36042
3,3,LCE,0.03562744187317286,0.023847253718022276,0.04627067186835647,1304,108499,,35297
3,10,LCE,0.08007977924100435,0.03111819739507508,0.09070633079465011,2931,363079,,33670
3,20,LCE,0.12343925029370782,0.03405343872932055,0.13534339358043845,4518,727502,,32083
3,30,LCE,0.15644381301057347,0.03537338602619181,0.17046225915455135,5726,1092304,,30875
4,1,LCE,0.014699453551912569,0.014699453551912567,0.02570509999328654,538,36062,,36062
4,3,LCE,0.034918032786885246,0.023296903460837886,0.046688398391752886,1278,108522,,35322
4,10,LCE,0.07846994535519125,0.030466660161332294,0.09178048471195518,2872,363128,,33728
4,20,LCE,0.12377049180327869,0.03356072155403475,0.135895389343498,4530,727470,,32070
4,30,LCE,0.15786885245901638,0.03492065167412332,0.17093220149337232,5778,1092222,,30822
5,1,LCE,0.015245485096035627,0.015245485096035627,0.025675262384472507,558,36043,,36043
5,3,LCE,0.034671183847435866,0.02353760826206934,0.046136402628693333,1269,108534,,35332
5,10,LCE,0.07972459768858774,0.030892435933964853,0.09081822182770273,2918,363092,,33683
5,20,LCE,0.12338460697795142,0.03386364022416447,0.13552241923332264,4516,727504,,32085
5,30,LCE,0.1554875549848365,0.03514905500016477,0.1712305775815126,5691,1092339,,30910
